source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1921Reach,1920,Piedmont League,,B00068,Adams,,0,Danville,,,119,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00760,Adams,G.,1,Winston-Salem,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00760,Adams,G.,2,Durham,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00760,Adams,G.,T,,,,39,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20388,Adams,,0,Danville,,,,,,,,119,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B01007,Allen,,0,Raleigh,,,32,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B01124,Allen,,0,Winston-Salem,,,20,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20908,Allen,,0,Winston-Salem,,,,,,,,,,,,,,20,
minoraverages/1921Reach,1920,Piedmont League,,F20943,Allen,,0,Raleigh,,,,,,,,,,,,,,32,
minoraverages/1921Reach,1920,Piedmont League,,P10121,Allen,,0,Raleigh,,,,32,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,P10289,Allen,T.,0,Winston-Salem,,,,20,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00491,Anderson,,0,Winston-Salem,,,35,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20334,Anderson,,0,Winston-Salem,,,,,,,35,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00196,Atkinson,,0,Durham,,,21,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20810,Atkinson,,0,Durham,,,,,,,,,,,,,,21,
minoraverages/1921Reach,1920,Piedmont League,,P10145,Atkinson,,0,Durham,,,,21,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,P10137,Baker,,0,High Point,,,,8,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00672,Bauer,,0,Danville,,,32,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20829,Bauer,,0,Danville,,,,,,,,,,,,,,32,
minoraverages/1921Reach,1920,Piedmont League,,P10277,Bauer,,0,Danville,,,,29,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00887,Bishoff,,0,Winston-Salem,,,26,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20604,Bishoff,,0,Winston-Salem,,,,,,,,,26,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00084,Bitting,,0,High Point,,,59,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20303,Bitting,,0,High Point,,,,,,,59,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00450,Botts,,0,Raleigh,,,112,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20430,Botts,,0,Raleigh,,,,,,,,112,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B01181,Braxton,,0,Greensboro,,,31,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20886,Braxton,,0,Greensboro,,,,,,,,,,,,,,31,
minoraverages/1921Reach,1920,Piedmont League,,P10253,Braxton,,0,Greensboro,,,,30,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00806,Brooks,,0,Durham,,,16,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B01162,Brooks,,0,Danville,,,40,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F21045,Brooks,,0,Durham,,,,,,,,,,,,,,40,
minoraverages/1921Reach,1920,Piedmont League,,P10266,Brooks,J.,0,Danville,,,,30,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,P10385,Brooks,H.,0,Durham,,,,12,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00335,Burney,,0,High Point,,,37,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20350,Burney,,0,High Point,,,,,,,37,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00502,Byrnes,,1,Durham,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00502,Byrnes,,2,Danville,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00502,Byrnes,,3,Raleigh,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00502,Byrnes,,T,,,,24,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20636,Byrnes,,1,Durham,,,,,,,,,yes,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20636,Byrnes,,2,Danville,,,,,,,,,yes,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20636,Byrnes,,3,Raleigh,,,,,,,,,yes,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20636,Byrnes,,T,,,,,,,,,,24,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20425,Carrol,,0,Greensboro,,,,,,,,120,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00255,Carroll,,0,Greensboro,,,120,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,M90018,Carroll,Charles,,Greensboro,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B01156,Caviness,,0,Durham,,,24,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20807,Caviness,,0,Durham,,,,,,,,,,,,,,24,
minoraverages/1921Reach,1920,Piedmont League,,P10168,Caviness,,0,Durham,,,,24,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00308,Clayton,,0,Durham,,,112,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20166,Clayton,,0,Durham,,,,,,33,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20316,Clayton,,0,Durham,,,,,,,79,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,P10432,Clayton,,0,Durham,,,,10,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00101,Conley,,0,High Point,,,109,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20526,Conley,,0,High Point,,,,,,,,,109,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00045,Culp,,0,Winston-Salem,,,10,,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,F20832,Culp,,0,Winston-Salem,,,,,,,,,,,,,,10,
minoraverages/1921Reach,1920,Piedmont League,,P10312,Culp,,0,Winston-Salem,,,,13,,,,,,,,,,,
minoraverages/1921Reach,1920,Piedmont League,,B00182,Danielly,,0,Greensboro,,,116,,,,,,,,,,,,
