source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1921Reach,1920,South Dakota League,,B01288,Albertson,,0,Miller,,,27,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,P10348,Albertson,,0,Miller,,,,29,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B00092,Altermott,,0,Sioux Falls,,,40,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,F20298,Altermott,,0,Sioux Falls,,,,,,,yes,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B00319,Altizer,,0,Madison,,,93,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,F20046,Altizer,,0,Madison,,,,,yes,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,F20342,Altizer,,0,Madison,,,,,,,,yes,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B00278,Aronsen,,0,Miller,,,68,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,F20604,Aronson,,0,Miller,,,,,,,,,yes,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B01170,Askerath,,0,Aberdeen,,,11,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,P10070,Askerath,,0,Aberdeen,,,,11,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B00059,Askland,,0,Mitchell,,,42,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,F20832,Askland,,0,Mitchell,,,,,,,,,,,,,yes,,
minoraverages/1921Reach,1920,South Dakota League,,P10228,Beatty,,0,Redfield,,,,12,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B00822,Beckett,,0,Aberdeen,,,27,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,P10231,Beckett,,0,Aberdeen,,,,27,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,B01055,Bloom,,0,Miller,,,70,,,,,,,,,,,,
minoraverages/1921Reach,1920,South Dakota League,,F20745,Bloom,,0,Miller,,,,,,,,,yes,,,,,,
