source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1921Reach,1920,Western Association,,B00021,Adair,,0,Okmulgee,,,36,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21370,Adair,,0,Okmulgee,,,,,,,,,30,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01291,Adkins,,0,Henryetta,,,67,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20807,Adkins,,0,Henryetta,,,,,,,,,21,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21531,Adkins,,0,Henryetta,,,,,,,,,,,,,,43,
minoraverages/1921Reach,1920,Western Association,,P10159,Adkins,,0,Henryetta,,,,43,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00037,Allen,,0,Pawhuska,,,35,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01477,Allen,,0,Fort Smith,,,27,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21638,Allen,,0,Fort Smith,,,,,,,,,,,,,,22,
minoraverages/1921Reach,1920,Western Association,,F21695,Allen,,0,Pawhuska,,,,,,,,,,,,,,20,
minoraverages/1921Reach,1920,Western Association,,P10244,Allen,,0,Pawhuska,,,,20,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,P10289,Allen,,0,Fort Smith,,,,22,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00623,Arensman,,0,Henryetta,,,17,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F22004,Arensman,,0,Henryetta,,,,,,,,,,,,,15,,
minoraverages/1921Reach,1920,Western Association,,B01514,Baty,,0,Enid,,,11,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00822,Bell,,0,Henryetta,,,93,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21865,Bell,,0,Henryetta,,,,,,,,,,,,,90,,
minoraverages/1921Reach,1920,Western Association,,B00232,Bennett,,0,Springfield,,,107,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21021,Bennett,,0,Springfield,,,,,,,,,98,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01359,Benton,,0,Springfield,,,12,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21475,Benton,,0,Springfield,,,,,,,,,,,,,,11,
minoraverages/1921Reach,1920,Western Association,,P10231,Benton,,0,Springfield,,,,11,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01093,Berger,,0,Springfield,,,20,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21760,Berger,,0,Springfield,,,,,,,,,,,,,,17,
minoraverages/1921Reach,1920,Western Association,,P10137,Berger,,0,Springfield,,,,16,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01321,Biggers,,0,Enid,,,32,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21623,Biggers,,0,Enid,,,,,,,,,,,,,,32,
minoraverages/1921Reach,1920,Western Association,,P10097,Biggers,,0,Enid,,,,32,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00163,Blakesley,,0,Henryetta,,,116,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21076,Blakesley,,0,Henryetta,,,,,,,,,116,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01041,Boyd,,0,Pawhuska,,,88,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20287,Boyd,,0,Pawhuska,,,,,,72,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20829,Boyd,,0,Pawhuska,,,,,,,,,12,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20177,Brannon,,0,Enid,,,,,129,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01402,Brennan,,0,Okmulgee,,,64,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21999,Brennan,,1,Okmulgee,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21999,Brennan,,2,Drumright,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21999,Brennan,,3,Pawhuska,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21999,Brennan,,T,,,,,,,,,,,,,,63,,
minoraverages/1921Reach,1920,Western Association,,B00045,Brown,,0,Enid,,,129,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00158,Brown,,0,Springfield,,,135,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20474,Brown,,0,Springfield,,,,,,,100,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20673,Brown,,0,Springfield,,,,,,,,15,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21059,Brown,,0,Springfield,,,,,,,,,20,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01078,Browning,,0,Fort Smith,,,43,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20700,Browning,,0,Fort Smith,,,,,,,,43,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00182,Burge,,0,Henryetta,,,77,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20095,Burge,,0,Henryetta,,,,,24,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20334,Burge,,0,Henryetta,,,,,,24,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20810,Burge,,0,Henryetta,,,,,,,,,17,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01384,Burns,,0,Springfield,,,16,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21589,Burns,,0,Springfield,,,,,,,,,,,,,,14,
minoraverages/1921Reach,1920,Western Association,,P10202,Burns,,0,Springfield,,,,13,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01300,Campbell,,0,Enid,,,37,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21469,Campbell,,0,Enid,,,,,,,,,,,,,,35,
minoraverages/1921Reach,1920,Western Association,,P10228,Campbell,,0,Enid,,,,35,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01135,Caraway,,1,Drumright,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01135,Caraway,,2,Fort Smith,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01135,Caraway,,3,Pawhuska,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01135,Caraway,,T,,,,111,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20924,Caraway,,1,Drumright,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20924,Caraway,,2,Fort Smith,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20924,Caraway,,3,Pawhuska,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20924,Caraway,,T,,,,,,,,,,111,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01376,Cardner,,1,Springfield,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01376,Cardner,,2,Henryetta,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01376,Cardner,,3,Okmulgee,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01376,Cardner,,T,,,,20,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21553,Cardner,,1,Springfield,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21553,Cardner,,2,Henryetta,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21553,Cardner,,3,Okmulgee,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21553,Cardner,,T,,,,,,,,,,,,,,,19,
minoraverages/1921Reach,1920,Western Association,,P10361,Cardner,,1,Springfield,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,P10361,Cardner,,2,Henryetta,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,P10361,Cardner,,3,Okmulgee,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,P10361,Cardner,,T,,,,,18,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00442,Cassidy,,0,Henryetta,,,123,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20713,Cassidy,,0,Henryetta,,,,,,,,123,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01227,Clark,,0,Chickasha,,,20,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20832,Clark,,0,Chickasha,,,,,,,,,11,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00101,Cotter,,0,Springfield,,,136,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F20023,Cotter,,0,Springfield,,,,,135,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B00854,Cover,,0,Pawhuska,,,12,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,F21936,Cover,,0,Pawhuska,,,,,,,,,,,,,12,,
minoraverages/1921Reach,1920,Western Association,,B00229,Cowan,,0,Okmulgee,,,13,,,,,,,,,,,,
minoraverages/1921Reach,1920,Western Association,,B01538,Cox,,1,Fort Smith,,,,,,,,,,,,,,,
