source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1947TSN,1946,East Texas League,abit,B02591,Abit,James,0,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,alexander,B01567,Alexander,Ellis,0,Lufkin,25,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,alexander,F20095,Alexander,,0,Lufkin,,,19,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allday,B00936,Allday,Roy,1,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allday,B00936,Allday,Roy,2,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allday,B00936,Allday,Roy,T,,36,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allday,F20956,Allday,,1,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allday,F20956,Allday,,2,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allday,F20956,Allday,,T,,,,,,,,,,,,27,,
minoraverages/1947TSN,1946,East Texas League,allen-tyl,B01551,Allen,William,0,Tyler,14,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allen-par,B02113,Allen,Wayne,0,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,allen-tyl,F20970,Allen,,0,Tyler,,,,,,,,,,,13,,
minoraverages/1947TSN,1946,East Texas League,alvis,B00887,Alvis,John,0,Jacksonville,25,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,alvis,F20737,Alvis,,0,Jacksonville,,,,,14,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,anderson,B00718,Anderson,Leslie,0,Greenville,135,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,anderson,F20583,Anderson,,0,Greenville,,,,,135,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,arnes,B01514,Arnes,Roy,0,Henderson,10,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,arnes,P10168,Arnes,Roy,0,Henderson,,10,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ashcraft,B01384,Ashcraft,James,0,Greenville,46,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ashcraft,F21021,Ashcraft,,0,Greenville,,,,,,,,43,,,,,
minoraverages/1947TSN,1946,East Texas League,ashworth,B00794,Ashworth,James,0,Jacksonville,79,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ashworth,F20878,Ashworth,,0,Jacksonville,,,,,,,,,,,28,,
minoraverages/1947TSN,1946,East Texas League,ashworth,P10654,Ashworth,James,0,Jacksonville,,25,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,baker,B02184,Baker,Al,0,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bartkowski,B00865,Bartkowski,Stanley,0,Texarkana,60,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bartkowski,F21264,Bartkowski,,0,Texarkana,,,,,,,,,,32,,,
minoraverages/1947TSN,1946,East Texas League,bartkowski,F21335,Bartkowski,,0,Texarkana,,,,,,,,,24,,,,
minoraverages/1947TSN,1946,East Texas League,basile,B00403,Basile,Joseph,0,Sherman,82,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,basile,F20038,Basile,,0,Sherman,,,82,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,benson,B00488,Benson,Eugene,0,Paris,138,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,benson,F20189,Benson,,0,Paris,,,20,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,benson,F20893,Benson,,0,Paris,,,,,,,,,,,43,,
minoraverages/1947TSN,1946,East Texas League,benson,F21158,Benson,,0,Paris,,,,,,,,,,28,,,
minoraverages/1947TSN,1946,East Texas League,benson,F21427,Benson,,0,Paris,,,,,,,,,25,,,,
minoraverages/1947TSN,1946,East Texas League,berry,B00308,Berry,John,0,Texarkana,105,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,berry,F20287,Berry,,0,Texarkana,,,,97,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,betterton,B01234,Betterton,Burl,0,Texarkana,27,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,betterton,P10665,Betterton,Burl,0,Texarkana,,27,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bevell,B00427,Bevell,Grady,0,Sherman,125,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bevell,F20807,Bevell,,0,Sherman,,,,,,,,,,,123,,
minoraverages/1947TSN,1946,East Texas League,billings,B02056,Billings,J.,0,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,birchfield,B01135,Birchfield,Columbus,0,Sherman,12,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bloomer,B01538,Bloomer,Jay,1,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bloomer,B01538,Bloomer,Jay,2,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bloomer,B01538,Bloomer,Jay,T,,28,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bloomer,P10516,Bloomer,Jay,1,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bloomer,P10516,Bloomer,Jay,2,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bloomer,P10516,Bloomer,Jay,T,,,25,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bonvillian,B01269,Bonvillian,Jack,0,Jacksonville,53,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,bonvillian,F21059,Bonvillian,,0,Jacksonville,,,,,,,,51,,,,,
minoraverages/1947TSN,1946,East Texas League,bowman,B01939,Bowman,James,0,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brack,B00059,Brack,Gilbert,0,Greenville,99,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brack,F21045,Brack,,0,Greenville,,,,,,,,34,,,,,
minoraverages/1947TSN,1946,East Texas League,brack,F21229,Brack,,0,Greenville,,,,,,,,,,62,,,
minoraverages/1947TSN,1946,East Texas League,brendel,B01994,Brendel,Al,0,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brent,B01740,Brent,Fred,0,Lufkin,19,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brent,P10588,Brent,Fred,0,Lufkin,,14,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,briggs,B02503,Briggs,Billy,0,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brooks,B01873,Brooks,John,0,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brown,B00531,Brown,Marshall,0,Tyler,118,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,brown,F20919,Brown,,0,Tyler,,,,,,,,,,,118,,
minoraverages/1947TSN,1946,East Texas League,buck,B01250,Buck,Thomas,0,Henderson,45,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,buck,F20369,Buck,,0,Henderson,,,,45,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,campbell,B00397,Campbell,Robert,0,Sherman,140,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,campbell,F21434,Campbell,,0,Sherman,,,,,,,,,140,,,,
minoraverages/1947TSN,1946,East Texas League,cantu,B02385,Cantu,Jimmy,0,Jacksonville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,capelle,B00771,Capelle,Jack,0,Lufkin,129,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,capelle,F20265,Capelle,,0,Lufkin,,,,129,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,carr,B02043,Carr,Jack,0,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,carroll,B02633,Carroll,Wayne,0,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,carter,B01696,Carter,Carl,0,Jacksonville,35,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,carter,P10542,Carter,Carl,0,Jacksonville,,35,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,chamness,B02588,Chamness,Pete,0,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,chandler,B02070,Chandler,Ray,0,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,chitwood,B01765,Chitwood,Edgar,0,Tyler,17,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,chitwood,P10399,Chitwood,Edgar,0,Tyler,,17,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christian,B01885,Christian,J. C.,0,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christy,B00515,Christy,Lewis,1,Tyler,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christy,B00515,Christy,Lewis,2,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christy,B00515,Christy,Lewis,T,,59,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christy,P10304,Christy,Louis,1,Tyler,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christy,P10304,Christy,Louis,2,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,christy,P10304,Christy,Louis,T,,,36,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,clark,B01663,Clark,Donald,0,Sherman,11,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,clark,P10432,Clark,Donald,0,Sherman,,11,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,colombatto,B01300,Colombatto,Peter James,0,Lufkin,116,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,colombatto,F20482,Colombatto,,0,Lufkin,,,,,,72,,,,,,,
minoraverages/1947TSN,1946,East Texas League,colombatto,F20648,Colombatto,,0,Lufkin,,,,,42,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,conn,B01275,Conn,Chester,0,Paris,23,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,conn,P10100,Conn,Chester,0,Paris,,21,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,coomes,B01523,Coomes,Rex,0,Lufkin,58,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,coomes,F20425,Coomes,,0,Lufkin,,,,,,58,,,,,,,
minoraverages/1947TSN,1946,East Texas League,critchlow,B00920,Critchlow,Elmer,0,Paris,19,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,critchlow,F20784,Critchlow,,0,Paris,,,,,,,,,,,12,,
minoraverages/1947TSN,1946,East Texas League,cullins,B00577,Cullins,Robert,0,Texarkana,129,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,cullins,F20334,Cullins,,0,Texarkana,,,,18,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,cullins,F20721,Cullins,,0,Texarkana,,,,,111,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,culp,B01733,Culp,Henry,0,Tyler,35,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,culp,P10320,Culp,Henry,0,Tyler,,34,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,darrah,B01288,Darrah,Malcolm,0,Tyler,55,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,darrah,F20943,Darrah,,0,Tyler,,,,,,,,,,,39,,
minoraverages/1947TSN,1946,East Texas League,davis-hen,B00609,Davis,Elton,0,Henderson,60,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,davis-tex,B02304,Davis,Leon,0,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,davis-hen,P10035,Davis,Elton,0,Henderson,,45,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,davis-tex,P10611,Davis,Leon,0,Texarkana,,8,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,davis-par,P10818,Davis,Robert,0,Paris,,6,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,demma,B00362,Demma,Samuel,0,Henderson,82,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,demma,F20810,Demma,,0,Henderson,,,,,,,,,,,82,,
minoraverages/1947TSN,1946,East Texas League,dooley,B00672,Dooley,Mike,0,Greenville,107,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,dooley,F20841,Dooley,,0,Greenville,,,,,,,,,,,105,,
minoraverages/1947TSN,1946,East Texas League,doty,B01029,Doty,Abner (Hank),0,Lufkin,26,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,doty,F20745,Doty,,0,Lufkin,,,,,11,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,douis,B02176,Douis,Bob,0,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,drake,B00553,Drake,Larry,0,Sherman,137,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,drake,F21286,Drake,,0,Sherman,,,,,,,,,,137,,,
