source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1947TSN,1946,Wisconsin State League,,B00045,Adlam,James,0,Fond du Lac,,,80,,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,F20287,Adlam,,0,Fond du Lac,,,,,,25,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,F20391,Adlam,,0,Fond du Lac,,,,,,,,45,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,B00957,Albrecht,Ed,0,Oshkosh,,,25,,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,P10228,Albrecht,,0,Oshkosh,,,,25,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,P10320,Allen,,0,Appleton,,,,4,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,B01055,Asbury,Charles,0,Wausau,,,10,,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,P10860,Asbury,,0,Wausau,,,,10,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,B00491,Balassi,Chuck,0,Fond du Lac,,,104,,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,F20657,Balassi,,0,Fond du Lac,,,,,,,18,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,F20935,Balassi,,0,Fond du Lac,,,,,,,,,86,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,B00037,Banning,Charles,0,Wisconsin Rapids,,,13,,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,P10429,Banning,,0,Wisconsin Rapids,,,,12,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,B00502,Bartos,Thomas,0,Sheboygan,,,102,,,,,,,,,,,,
minoraverages/1947TSN,1946,Wisconsin State League,,F20206,Bartos,,0,Sheboygan,,,,,,84,,,,,,,,,
