source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1948TSN,1947,Big State League,,B00672,Appell,Johnny,0,Waco,41,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21084,Appell,,0,Waco,,,,,,,,,,30,,,
minoraverages/1948TSN,1947,Big State League,,B00158,Atwood,William F.,0,Sherman-Denison,77,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21335,Atwood,,0,Sherman-Denison,,,,,,,,,,,74,,
minoraverages/1948TSN,1947,Big State League,,B01337,Baich,Dan B.,0,Wichita Falls,40,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21515,Baich,,0,Wichita Falls,,,,,,,,,,,37,,
minoraverages/1948TSN,1947,Big State League,,B01523,Baker,McLee,0,Wichita Falls,40,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F22150,Baker,,0,Wichita Falls,,,,,,,,,,,,38,
minoraverages/1948TSN,1947,Big State League,,P10121,Baker,,0,Wichita Falls,,38,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00343,Barkley,John D.,0,Waco,128,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20620,Barkley,,0,Waco,,,,,,124,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00515,Battle,Vincent,0,Greenville,153,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20547,Battle,,0,Greenville,,,,,,153,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B01143,Beasley,Pat,0,Waco,11,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F22127,Beasley,,0,Waco,,,,,,,,,,,,11,
minoraverages/1948TSN,1947,Big State League,,P10407,Beasley,,0,Waco,,11,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B01216,Behl,Francis C.,0,Gainesville,13,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20832,Behl,,0,Gainesville,,,,,,,,13,,,,,
minoraverages/1948TSN,1947,Big State League,,B00210,Bell,Roy (Beau),0,Austin,136,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00362,Bell,Woodrow M.,0,Austin,139,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20144,Bell,R.,0,Austin,,,61,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20737,Bell,W.,0,Austin,,,,,,,,73,,,,,
minoraverages/1948TSN,1947,Big State League,,F20924,Bell,W.,0,Austin,,,,,,,,,61,,,,
minoraverages/1948TSN,1947,Big State League,,F21210,Bell,R.,0,Austin,,,,,,,,,,64,,,
minoraverages/1948TSN,1947,Big State League,,B01595,Benson,Eugene J.,0,Wichita Falls,13,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21324,Benson,,0,Wichita Falls,,,,,,,,,,,10,,
minoraverages/1948TSN,1947,Big State League,,B00370,Berry,John F.,0,Texarkana,128,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20254,Berry,,0,Texarkana,,,,128,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00553,Black,William,0,Gainesville,43,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20673,Black,,0,Gainesville,,,,,,,,21,,,,,
minoraverages/1948TSN,1947,Big State League,,F21308,Black,,0,Gainesville,,,,,,,,,,17,,,
