source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1948TSN,1947,Carolina League,,B01567,Abernathy,Talmadge,0,Leaksville,,,42,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21833,Abernathy,,0,Leaksville,,,,,,,,,,,,,,34,
minoraverages/1948TSN,1947,Carolina League,,P10035,Abernathy,,0,Leaksville,,,,39,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01197,Abrams,James,0,Martinsville,,,57,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21021,Abrams,,0,Martinsville,,,,,,,,,52,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01466,Adams,Melvin,0,Danville,,,38,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21811,Adams,,0,Danville,,,,,,,,,,,,,,35,
minoraverages/1948TSN,1947,Carolina League,,P10228,Adams,,0,Danville,,,,35,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00013,Allegar,Edwin,0,Danville,,,13,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01291,Allegue,Manuel,0,Martinsville,,,70,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20700,Allegue,,0,Martinsville,,,,,,,,68,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00278,Barger,John,0,Burlington,,,11,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21667,Barger,,0,Burlington,,,,,,,,,,,,,,11,
minoraverages/1948TSN,1947,Carolina League,,P10622,Barger,,0,Burlington,,,,11,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01007,Bass,Earl,0,Raleigh,,,41,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21343,Bass,,0,Raleigh,,,,,,,,,41,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00125,Bates,Hubert,0,Burlington,,,117,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20997,Bates,,0,Burlington,,,,,,,,,115,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00403,Baxter,Dave,0,Raleigh,,,139,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20095,Baxter,,0,Raleigh,,,,,138,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00196,Behrends,John,0,Martinsville,,,42,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20878,Behrends,,0,Martinsville,,,,,,,,,42,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00794,Benton,Horace,0,Raleigh,,,40,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21879,Benton,,0,Raleigh,,,,,,,,,,,,,,33,
minoraverages/1948TSN,1947,Carolina League,,P10202,Benton,,0,Raleigh,,,,33,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00163,Bilko,Stephen,0,Winston-Salem,,,116,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20080,Bilko,,0,Winston-Salem,,,,,115,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00760,Blackmon,Grover,0,Burlington,,,60,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20287,Blackmon,,0,Burlington,,,,,,51,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00149,Blair,James,0,Burlington,,,46,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20072,Blair,,0,Burlington,,,,,44,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01143,Blake,Dean,0,Durham,,,15,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20401,Blake,,0,Durham,,,,,,,14,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00434,Bomar,John,0,Leaksville,,,13,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01905,Bowes,Mason,0,Martinsville,,,24,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21865,Bowes,,0,Martinsville,,,,,,,,,,,,,,24,
minoraverages/1948TSN,1947,Carolina League,,P10312,Bowes,,0,Martinsville,,,,24,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00264,Brooks,William,0,Danville,,,10,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00255,Bryant,James,0,Burlington,,,43,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21726,Bryant,,0,Burlington,,,,,,,,,,,,,,37,
minoraverages/1948TSN,1947,Carolina League,,P10062,Bryant,,0,Burlington,,,,37,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00672,Burns,James,1,Greensboro,,,91,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00672,Burns,James,2,Burlington,,,36,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00672,Burns,James,T,,,,127,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20334,Burns,,1,Greensboro,,,,,,yes,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20334,Burns,,2,Burlington,,,,,,yes,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20334,Burns,,T,,,,,,,125,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00680,Buschling,Alert,0,Danville,,,40,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20014,Buschling,,0,Danville,,,,,40,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00293,Butzer,Donald,0,Greensboro,,,134,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21076,Butzer,,0,Greensboro,,,,,,,,,132,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01055,Calaman,Dominic,0,Leaksville,,,21,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21531,Calaman,,0,Leaksville,,,,,,,,,,,,,21,,
minoraverages/1948TSN,1947,Carolina League,,B00726,Carenbauer,John,0,Raleigh,,,111,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21210,Carenbauer,,0,Raleigh,,,,,,,,,109,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00117,Carpenter,Keith,0,Danville,,,92,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20038,Carpenter,,0,Danville,,,,,92,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00854,Carroll,Preston,0,Greensboro,,,39,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20023,Carroll,,0,Greensboro,,,,,10,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21163,Carroll,,0,Greensboro,,,,,,,,,24,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01546,Chambers,Inman L.,0,Burlington,,,32,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F21887,Chambers,,0,Burlington,,,,,,,,,,,,,,32,
minoraverages/1948TSN,1947,Carolina League,,P10159,Chambers,,0,Burlington,,,,32,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B00904,Chauncey,Horrall,0,Burlington,,,90,,,,,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,F20474,Chauncey,,0,Burlington,,,,,,,83,,,,,,,,
minoraverages/1948TSN,1947,Carolina League,,B01032,Clayton,John,0,Burlington,,,112,,,,,,,,,,,,
