source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1948TSN,1947,South Atlantic League,,B00854,Adcock,Joseph,0,Columbia,73,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20051,Adcock,,0,Columbia,,,73,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00117,Addis,Robert,0,Augusta,15,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21207,Addis,,0,Augusta,,,,,,,10,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01368,Aderholt,Morris,0,Macon,13,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21182,Aderholt,,0,Macon,,,,,,,12,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B02062,Ancherico,Edward,0,Macon,15,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21614,Ancherico,,0,Macon,,,,,,,,,,,,15,
minoraverages/1948TSN,1947,South Atlantic League,,P10429,Ancherico,,0,Macon,,15,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00278,Anders,Joseph,0,Greenville,41,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20539,Anders,,0,Greenville,,,,,38,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01711,Armstrong,Carl,0,Augusta,13,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20153,Armstrong,,0,Augusta,,,,11,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00356,Ashworth,Harry,0,Augusta,151,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20095,Ashworth,,0,Augusta,,,151,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01359,Astbury,Thomas,0,Savannah,21,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20776,Astbury,,0,Savannah,,,,,,,18,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00609,Astroth,Joseph,0,Savannah,141,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21324,Astroth,,0,Savannah,,,,,,,,,,,139,,
minoraverages/1948TSN,1947,South Atlantic League,,B01765,Auman,Howard,0,Macon,39,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21783,Auman,,0,Macon,,,,,,,,,,,,38,
minoraverages/1948TSN,1947,South Atlantic League,,P10361,Auman,,0,Macon,,38,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00672,Babcock,James,0,Greenville,122,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20211,Babcock,,0,Greenville,,,,113,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00887,Bankston,Thomas,0,Jacksonville,17,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21898,Bankston,,0,Jacksonville,,,,,,,,,,,,16,
minoraverages/1948TSN,1947,South Atlantic League,,P10679,Bankston,,0,Jacksonville,,16,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01960,Bartholomew,Clifford,0,Columbia,38,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21806,Bartholomew,,0,Columbia,,,,,,,,,,,,38,
minoraverages/1948TSN,1947,South Atlantic League,,P10527,Bartholomew,,0,Columbia,,38,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01291,Bernardi,Francis,0,Savannah,44,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21747,Bernardi,,0,Savannah,,,,,,,,,,,,33,
minoraverages/1948TSN,1947,South Atlantic League,,P10266,Bernardi,,0,Savannah,,33,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00324,Biasetti,Henry A.,0,Savannah,147,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20038,Biasetti,,0,Savannah,,,147,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01538,Bielemeier,Joseph,0,Greenville,45,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F22057,Bielemeier,,0,Greenville,,,,,,,,,,,,45,
minoraverages/1948TSN,1947,South Atlantic League,,P10348,Bielemeier,,0,Greenville,,45,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01216,Blackburn,James,0,Columbia,26,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21531,Blackburn,,0,Columbia,,,,,,,,,,,,26,
minoraverages/1948TSN,1947,South Atlantic League,,P10145,Blackburn,,0,Columbia,,26,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B02100,Blake,Edward,0,Columbus,11,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21811,Blake,,0,Columbus,,,,,,,,,,,,11,
minoraverages/1948TSN,1947,South Atlantic League,,P10289,Blake,,0,Columbus,,11,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B01376,Boehm,Edward,0,Savannah,60,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21196,Boehm,,0,Savannah,,,,,,,51,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00381,Bollweg,Donald,0,Columbus,145,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F20102,Bollweg,,0,Columbus,,,145,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00068,Bordagaray,Stanley,0,Greenville,48,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21130,Bordagaray,,0,Greenville,,,,,,,35,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,B00232,Bosiack,Thaddeus,0,Columbia,82,,,,,,,,,,,,
minoraverages/1948TSN,1947,South Atlantic League,,F21335,Bosiack,,0,Columbia,,,,,,,,,,,79,,
