source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Arizona-Texas League,,B01156,Abernathie,Wm. E.,0,Tucson,,,39,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21084,Abernathie,,0,Tucson,,,,,,,,,,,,,,37,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10215,Abernathie,,0,Tucson,,,,37,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00747,Acosta,Robert,0,Tucson,,,89,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20265,Acosta,,0,Tucson,,,,,,,70,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00961,Aguilar,Alwin,0,Tucson,,,46,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01227,Aguilar,Jorge,1,Tucson,,,6,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01227,Aguilar,Jorge,2,Juarez,,,9,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01227,Aguilar,Jorge,T,,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20474,Aguilar,A.,0,Tucson,,,,,,,,,10,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21068,Aguilar,J.,1,Tucson,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21068,Aguilar,J.,2,Juarez,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21068,Aguilar,J.,T,,,,,,,,,,,,,,,13,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21130,Aguilar,A.,0,Tucson,,,,,,,,,,,,,,35,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10070,Aguilar,J.,1,Tucson,,,,5,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10070,Aguilar,J.,2,Juarez,,,,8,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10070,Aguilar,J.,T,,,,,13,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10277,Aguilar,A.,0,Tucson,,,,35,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00973,Alcaraz,Francisco,0,Juarez,,,52,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20102,Alcaraz,,0,Juarez,,,,,40,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00045,Azamar,Hector,0,Juarez,,,53,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21488,Azamar,,0,Juarez,,,,,,,,,,,,,,47,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10168,Azamar,,0,Juarez,,,,47,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00614,Bacciocco,Jack,0,Phoenix,,,113,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20526,Bacciocco,,0,Phoenix,,,,,,,,,111,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01216,Barron,Talmadge,0,Phoenix,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21502,Barron,,0,Phoenix,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10385,Barron,,0,Phoenix,,,,21,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00210,Baxes,Michael,0,Phoenix,,,146,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20369,Baxes,,0,Phoenix,,,,,,,,146,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00999,Beeson,Hillard,0,Bisbee-Douglas,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20810,Beeson,,0,Bisbee-Douglas,,,,,,,,,13,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00806,Bell,Donald,0,Tucson,,,149,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20401,Bell,,0,Tucson,,,,,,,,143,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00718,Bello,Gustavo,0,Bisbee-Douglas,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21196,Bello,,0,Bisbee-Douglas,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Arizona-Texas League,,P10113,Bello,,0,Bisbee-Douglas,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20350,Bernadett,,0,Globe-Miami,,,,,,,,75,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00811,Bernedette,Michael,0,Globe-Miami,,,79,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01055,Billings,Jack,0,Bisbee-Douglas,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20855,Billings,,0,Bisbee-Douglas,,,,,,,,,18,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01384,Boles,Earl P.,0,Phoenix,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B01415,Burrows,John,0,Phoenix,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F21076,Burrows,,0,Phoenix,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00544,Busby,Richard,0,Globe-Miami,,,58,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20700,Busby,,0,Globe-Miami,,,,,,,,,57,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00232,Bynon,James,0,El Paso,,,127,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20547,Bynon,,0,El Paso,,,,,,,,,127,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00577,Camacho,Joseph,0,Globe-Miami,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,F20430,Camacho,,0,Globe-Miami,,,,,,,,38,,,,,,,
minoraverages/1950TSN,1949,Arizona-Texas League,,B00149,Canales,Victor,0,Phoenix,,,147,,,,,,,,,,,,
