source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Big State League,anson,B01706,Anson,Thomas E.,0,Waco,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,anson,F21999,Anson,,0,Waco,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,Big State League,anson,P10569,Anson,,0,Waco,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,appleton,B00491,Appleton,Peter,0,Sherman-Denison,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,appleton,F21544,Appleton,,0,Sherman-Denison,,,,,,,,,,,,,,24,
minoraverages/1950TSN,1949,Big State League,appleton,M90060,Appleton,Pete,,Sherman-Denison,19490526,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,appleton,P10228,Appleton,,0,Sherman-Denison,,,,24,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,archie,B00149,Archie,George,0,Texarkana,,,121,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,archie,F20023,Archie,,0,Texarkana,,,,,120,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,archie,M90026,Archie,George,,Texarkana,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,baas,B00182,Baas,John,0,Waco,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,baas,F20981,Baas,,0,Waco,,,,,,,,,123,,,,,,
minoraverages/1950TSN,1949,Big State League,bachmann,B00356,Bachmann,Edward,0,Austin,,,140,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,bachmann,F20287,Bachmann,,0,Austin,,,,,,138,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,basso,B00210,Basso,S. James,0,Temple,,,134,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,basso,F20829,Basso,,0,Temple,,,,,,,,,131,,,,,,
minoraverages/1950TSN,1949,Big State League,battle,B01275,Battle,Vincent,0,Temple,,,116,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,battle,F20518,Battle,,0,Temple,,,,,,,,113,,,,,,,
minoraverages/1950TSN,1949,Big State League,bernadett,B00566,Bernadett,Michael,0,Wichita Falls,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,bernadett,F20604,Bernadett,,0,Wichita Falls,,,,,,,,23,,,,,,,
minoraverages/1950TSN,1949,Big State League,billings,B01064,Billings,Arthur,0,Waco,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,billings,F21362,Billings,,0,Waco,,,,,,,,,,,,,12,,
minoraverages/1950TSN,1949,Big State League,blackwood,B01170,Blackwood,Glenn,0,Wichita Falls,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Big State League,blackwood,F21577,Blackwood,,0,Wichita Falls,,,,,,,,,,,,,,24,
