source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Blue Ridge League,,B01216,Akers,Willard,0,Radford,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21037,Akers,,0,Radford,,,,,,,,,,,,,,25,
minoraverages/1950TSN,1949,Blue Ridge League,,P10277,Akers,,0,Radford,,,,25,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00076,Akins,William,0,Mount Airy,,,87,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20612,Akins,,0,Mount Airy,,,,,,,,,87,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01086,Bachman,C. Howard,0,Wytheville,,,36,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20526,Bachman,,0,Wytheville,,,,,,,,,15,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21427,Bachman,,0,Wytheville,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,Blue Ridge League,,B01093,Bakaitis,Peter,0,Radford,,,41,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21324,Bakaitis,,0,Radford,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Blue Ridge League,,P10312,Bakaitis,,0,Radford,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00308,Bass,Thomas,0,Wytheville,,,117,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20177,Bass,,0,Wytheville,,,,,,18,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20713,Bass,,0,Wytheville,,,,,,,,,92,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00491,Beane,Paul,0,Mount Airy,,,48,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20131,Beane,,0,Mount Airy,,,,,,19,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20298,Beane,,0,Mount Airy,,,,,,,29,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01313,Bentley,Lee,0,North Wilkesboro,,,19,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21403,Bentley,,0,North Wilkesboro,,,,,,,,,,,,,,19,
minoraverages/1950TSN,1949,Blue Ridge League,,P10266,Bentley,,0,North Wilkesboro,,,,19,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01250,Bickford,Bobby,0,Galax,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21356,Bickford,,0,Galax,,,,,,,,,,,,,,18,
minoraverages/1950TSN,1949,Blue Ridge League,,P10081,Bickford,,0,Galax,,,,18,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00957,Biggerstaff,Jack,0,Galax,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20661,Biggerstaff,,0,Galax,,,,,,,,,17,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00833,Bishop,Jack,0,Elkin,,,94,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20233,Bishop,,0,Elkin,,,,,,32,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20327,Bishop,,0,Elkin,,,,,,,28,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20539,Bishop,,0,Elkin,,,,,,,,,14,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00469,Black,Thomas,0,North Wilkesboro,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20594,Black,,0,North Wilkesboro,,,,,,,,,24,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00092,Boles,Roy,0,Elkin,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21293,Boles,,0,Elkin,,,,,,,,,,,,,,19,
minoraverages/1950TSN,1949,Blue Ridge League,,P10062,Boles,,0,Elkin,,,,19,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,M90155,Braxton,Garland,,Radford,19490814,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00037,Brelich,Michael,1,Wytheville,,,89,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00037,Brelich,Michael,2,Mount Airy,,,9,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00037,Brelich,Michael,T,,,,98,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20737,Brelich,,1,Wytheville,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20737,Brelich,,2,Mount Airy,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20737,Brelich,,T,,,,,,,,,,68,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20893,Brelich,,1,Wytheville,,,,,,,,,,,,,yes,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20893,Brelich,,2,Mount Airy,,,,,,,,,,,,,yes,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20893,Brelich,,T,,,,,,,,,,,,,,28,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00182,Brown,Henry,0,Elkin,,,120,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20699,Brown,H.,0,Elkin,,,,,,,,,119,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00973,Bryson,Herman,0,Mount Airy,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20265,Bryson,,0,Mount Airy,,,,,,,20,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00948,Church,Cameron,0,Radford,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21174,Church,,0,Radford,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,Blue Ridge League,,P10410,Church,,0,Radford,,,,12,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00854,Cirelli,Frank,0,Radford,,,100,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20115,Cirelli,,0,Radford,,,,,,59,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20832,Cirelli,,0,Radford,,,,,,,,,17,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20962,Cirelli,,0,Radford,,,,,,,,,,,,,24,,
minoraverages/1950TSN,1949,Blue Ridge League,,M90141,Cirelli,Frank,,Radford,19490809,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00149,Claypool,James,0,Galax,,,107,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20935,Claypool,,0,Galax,,,,,,,,,,,,,101,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00695,Collins,John,0,Elkin,,,97,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20886,Collins,,0,Elkin,,,,,,,,,,,,,90,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00475,Cooper,Joseph,0,North Wilkesboro,,,108,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20648,Cooper,,0,North Wilkesboro,,,,,,,,,107,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00739,Crissman,Samuel,0,Mount Airy,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21286,Crissman,,0,Mount Airy,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Blue Ridge League,,P10192,Crissman,,0,Mount Airy,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00840,Cunningham,Robert,0,Radford,,,82,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01181,Cunningham,Ralph,0,North Wilkesboro,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20190,Cunningham,R.,0,Radford,,,,,,59,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20375,Cunningham,R.,0,Radford,,,,,,,,14,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21000,Cunningham,,0,Radford,,,,,,,,,,,,,10,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21264,Cunningham,R.,0,North Wilkesboro,,,,,,,,,,,,,,18,
minoraverages/1950TSN,1949,Blue Ridge League,,P10336,Cunningham,,0,North Wilkesboro,,,,18,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01119,Cuthbertson,Worth,1,North Wilkesboro,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01119,Cuthbertson,Worth,2,Wytheville,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01119,Cuthbertson,Worth,T,,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21182,Cuthbertson,,1,North Wilkesboro,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Blue Ridge League,,F21182,Cuthbertson,,2,Wytheville,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Blue Ridge League,,F21182,Cuthbertson,,T,,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,Blue Ridge League,,P10253,Cuthbertson,,1,North Wilkesboro,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,P10253,Cuthbertson,,2,Wytheville,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,P10253,Cuthbertson,,T,,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00241,Daddino,Thomas,0,North Wilkesboro,,,117,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20023,Daddino,,0,North Wilkesboro,,,,,116,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,M90083,Daddino,Thomas,,North Wilkesboro,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01300,Dahlinger,Robert,0,Wytheville,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21434,Dahlinger,,0,Wytheville,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Blue Ridge League,,P10348,Dahlinger,,0,Wytheville,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00163,Davis,Jefferson,0,Mount Airy,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00609,Davis,Arnold,0,North Wilkesboro,,,120,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00822,Davis,Robert,0,Mount Airy,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20334,Davis,R.,0,Mount Airy,,,,,,,15,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20560,Davis,A.,0,North Wilkesboro,,,,,,,,,34,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20956,Davis,,0,North Wilkesboro,,,,,,,,,,,,,89,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21397,Davis,J.,0,Mount Airy,,,,,,,,,,,,,,15,
minoraverages/1950TSN,1949,Blue Ridge League,,P10290,Davis,J.,0,Mount Airy,,,,15,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21210,Eggelston,,0,Mount Airy,,,,,,,,,,,,,,15,
minoraverages/1950TSN,1949,Blue Ridge League,,B00434,Eggleston,John,0,Mount Airy,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,P10361,Eggleston,,0,Mount Airy,,,,15,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20401,Ericksen,,0,Elkin,,,,,,,,112,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00651,Erickson,Edwin,0,Elkin,,,114,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00335,Essic,Francis,1,Mount Airy,,,90,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00335,Essic,Francis,2,Elkin,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00335,Essic,Francis,T,,,,119,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20166,Essic,,1,Mount Airy,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20166,Essic,,2,Elkin,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20166,Essic,,T,,,,,,,74,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20449,Essic,,1,Mount Airy,,,,,,,,yes,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20449,Essic,,2,Elkin,,,,,,,,yes,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20449,Essic,,T,,,,,,,,,43,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,M90018,Essie,Francis,,Mount Airy,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21370,Feriancek,,0,Galax,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Blue Ridge League,,P10304,Feriancek,,0,Galax,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00898,Ferianeck,Leonard,0,Galax,,,31,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01203,Fletcher,Vanoide,0,Elkin,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21059,Fletcher,,0,Elkin,,,,,,,,,,,,,,18,
minoraverages/1950TSN,1949,Blue Ridge League,,P10373,Fletcher,,0,Elkin,,,,18,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00319,Flowers,Okey,0,Mount Airy,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21450,Flowers,,0,Mount Airy,,,,,,,,,,,,,,26,
minoraverages/1950TSN,1949,Blue Ridge League,,M90047,Flowers,Okey,,Mount Airy,19490819,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,P10043,Flowers,,0,Mount Airy,,,,26,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00887,Ganaway,Bernard,0,Radford,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20474,Ganaway,,0,Radford,,,,,,,,10,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,P10100,Gardner,,0,Mount Airy,,,,8,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00623,Gilbert,Frank,0,Radford,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20463,Gilbert,,0,Radford,,,,,,,,17,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00324,Gray,Bruce,0,Wytheville,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20864,Gray,,0,Wytheville,,,,,,,,,13,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00174,Hall,Charles,0,Mount Airy,,,103,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20943,Hall,,0,Mount Airy,,,,,,,,,,,,,81,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00879,Hammock,Richard,0,Wytheville,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21335,Hammock,,0,Wytheville,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Blue Ridge League,,P10121,Hammock,,0,Wytheville,,,,16,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01108,Hampton,Gilmer,0,Elkin,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20240,Hampton,,0,Elkin,,,,,,,10,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00362,Harris,Wayne,0,Elkin,,,99,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20685,Harris,,0,Elkin,,,,,,,,,87,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,M90129,Harris,Wayne (Tige),,Elkin,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01162,Haynes,William,0,Mount Airy,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00286,Hayworth,James,0,Elkin,,,85,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01055,Hayworth,Lewis,0,Elkin,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20189,Hayworth,L.,0,Elkin,,,,,,26,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20287,Hayworth,J.,0,Elkin,,,,,,,85,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00403,Hennelly,Kenneth,0,Wytheville,,,122,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20254,Hennelly,,0,Wytheville,,,,,,,121,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B01321,Hicks,John,0,Elkin,,,13,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F21488,Hicks,,0,Elkin,,,,,,,,,,,,,,13,
minoraverages/1950TSN,1949,Blue Ridge League,,P10429,Hicks,,0,Elkin,,,,13,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,B00158,Hite,Robert,0,North Wilkesboro,,,59,,,,,,,,,,,,
minoraverages/1950TSN,1949,Blue Ridge League,,F20673,Hite,,0,North Wilkesboro,,,,,,,,,52,,,,,,
