source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,California League,,B00037,Ahtipis,Daniel,0,Santa Barbara,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F22142,Ahtipis,,0,Santa Barbara,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,California League,,B00084,Alotta,Philip,0,Modesto,,,54,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F21324,Alotta,,0,Modesto,,,,,,,,,53,,,,,,
minoraverages/1950TSN,1949,California League,,B00672,Ananias,Nicholas,0,Ventura,,,47,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F20189,Ananias,,0,Ventura,,,,,46,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,B00362,Asmonga,Donald,0,San Jose,,,40,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F21920,Asmonga,,0,San Jose,,,,,,,,,,,,,,33,
minoraverages/1950TSN,1949,California League,,P10159,Asmonga,,0,San Jose,,,,33,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,B01836,Aubertin,Richard,0,Ventura,,,31,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F22280,Aubertin,,0,Ventura,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,California League,,P10253,Aubertin,,0,Ventura,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,B00255,Balance,Robert,0,Stockton,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F21163,Balance,,0,Stockton,,,,,,,,,24,,,,,,
minoraverages/1950TSN,1949,California League,,B00308,Barbarito,Edward,0,Ventura,,,113,,,,,,,,,,,,
minoraverages/1950TSN,1949,California League,,F20254,Barbarito,,0,Ventura,,,,,,111,,,,,,,,,
minoraverages/1950TSN,1949,California League,,B00229,Barisoff,William,0,Modesto,,,121,,,,,,,,,,,,
