source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Canadian-American League,,B01905,Ahern,John,0,Oneonta,,,30,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F22127,Ahern,,0,Oneonta,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Canadian-American League,,P10043,Ahern,,0,Oneonta,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01032,Alltop,Charles,0,Quebec,,,81,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21335,Alltop,,0,Quebec,,,,,,,,,,,,,78,,
minoraverages/1950TSN,1949,Canadian-American League,,B01477,Arduini,Salvatore,0,Rome,,,52,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20417,Arduini,,0,Rome,,,,,,,32,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F22061,Arduini,,0,Rome,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Canadian-American League,,P10503,Arduini,,0,Rome,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01242,Baker,Keith,0,Three Rivers,,,81,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01696,Baker,Allen,0,Oneonta,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20893,Baker,,0,Three Rivers,,,,,,,,,59,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21491,Baker,,0,Oneonta,,,,,,,,,,,,,12,,
minoraverages/1950TSN,1949,Canadian-American League,,B01601,Balikes,Nick,0,Rome,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21502,Balikes,,0,Rome,,,,,,,,,,,,,10,,
minoraverages/1950TSN,1949,Canadian-American League,,B01523,Barcus,Albert,0,Gloversville-Johnstown,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,P10244,Barcus,,0,Gloversville-Johnstown,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21566,Barkus,,0,Gloversville-Johnstown,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Canadian-American League,,B00646,Barracato,Joseph,0,Three Rivers,,,70,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20505,Barracato,,0,Three Rivers,,,,,,,61,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20661,Barracato,,0,Three Rivers,,,,,,,,10,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01359,Basta,Vincent,0,Amsterdam,,,34,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21680,Basta,,0,Amsterdam,,,,,,,,,,,,,,34,
minoraverages/1950TSN,1949,Canadian-American League,,P10070,Basta,,0,Amsterdam,,,,34,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01682,Beauchesne,Patrick,0,Three Rivers,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21822,Beauchesne,,0,Three Rivers,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,Canadian-American League,,P10121,Beauchesne,,0,Three Rivers,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01625,Belinsky,Fred,0,Quebec,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21695,Belinsky,,0,Quebec,,,,,,,,,,,,,,32,
minoraverages/1950TSN,1949,Canadian-American League,,P10192,Belinsky,,0,Quebec,,,,32,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00865,Benanati,Peter,0,Rome,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21182,Benenati,,0,Rome,,,,,,,,,28,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01630,Bennett,Daniel,0,Three Rivers,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F22142,Bennett,,0,Three Rivers,,,,,,,,,,,,,,17,
minoraverages/1950TSN,1949,Canadian-American League,,P10611,Bennett,,0,Three Rivers,,,,17,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01064,Bernard,Joseph,0,Schenectady,,,139,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20233,Bernard,,0,Schenectady,,,,,13,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20855,Bernard,,0,Schenectady,,,,,,,,,128,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00667,Bland,Edward,0,Rome,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20391,Bland,,0,Rome,,,,,,35,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01197,Blandino,Leo,0,Three Rivers,,,42,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20496,Blandino,,0,Three Rivers,,,,,,,37,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01415,Bobzean,Eugene,0,Pittsfield,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20648,Bobzean,,0,Pittsfield,,,,,,,,18,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00531,Bollinger,Harold,0,Gloversville-Johnstown,,,125,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20685,Bollinger,,0,Gloversville-Johnstown,,,,,,,,125,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00589,Booker,William,0,Rome,,,130,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20956,Booker,,0,Rome,,,,,,,,,130,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00760,Boryk,John,0,Amsterdam,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20254,Boryk,,0,Amsterdam,,,,,,32,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01291,Bradley,Matt,0,Schenectady,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20425,Bradley,,0,Schenectady,,,,,,,22,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00747,Bragg,Gordon,0,Amsterdam,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21117,Bragg,,0,Amsterdam,,,,,,,,,26,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00092,Breton,Raymond,0,Oneonta,,,13,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21577,Breton,,0,Oneonta,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,Canadian-American League,,P10399,Breton,,0,Oneonta,,,,12,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01765,Burnett,Eugene,0,Three Rivers,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21590,Burnett,,0,Three Rivers,,,,,,,,,,,,,,24,
minoraverages/1950TSN,1949,Canadian-American League,,P10591,Burnett,,0,Three Rivers,,,,24,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,M90071,Carter,Richard,,Schenectady,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00450,Castro,John,0,Pittsfield,,,134,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20784,Castro,,0,Pittsfield,,,,,,,,,134,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00264,Clark,George,0,Three Rivers,,,137,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20612,Clark,,0,Three Rivers,,,,,,,,129,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00427,Clifford,Roderick,0,Rome,,,26,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21084,Clifford,,0,Rome,,,,,,,,,23,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00553,Clifton,Nate,0,Pittsfield,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20166,Clifton,,0,Pittsfield,,,,,23,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01368,Collins,John,0,Schenectady,,,56,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20810,Collins,,0,Schenectady,,,,,,,,,56,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00125,Cullinane,James,0,Gloversville-Johnstown,,,135,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20482,Cullinane,,0,Gloversville-Johnstown,,,,,,,120,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,M90060,Cullinane,James,,Gloversville-Johnstown,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01444,Danelishen,Alexander,0,Quebec,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21898,Danelishen,,0,Quebec,,,,,,,,,,,,,,38,
minoraverages/1950TSN,1949,Canadian-American League,,P10137,Danelishen,,0,Quebec,,,,38,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00013,DeFazio,Ernest,0,Amsterdam,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20375,DeFazio,,0,Amsterdam,,,,,,18,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00609,DeFresco,John,0,Amsterdam,,,51,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20699,DeFresco,,0,Amsterdam,,,,,,,,43,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00515,DeMaestri,Joseph,0,Oneonta,,,125,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20594,DeMaestri,,0,Oneonta,,,,,,,,122,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00308,DePerro,Samuel,0,Schenectady,,,109,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20072,DePerro,,0,Schenectady,,,,,94,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20768,DePerro,,0,Schenectady,,,,,,,,,13,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00362,Decender,Ralph,0,Oneonta,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01119,Delock,Ivan,0,Oneonta,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21833,Delock,,0,Oneonta,,,,,,,,,,,,,,33,
minoraverages/1950TSN,1949,Canadian-American League,,P10266,Delock,,0,Oneonta,,,,33,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00957,Denoville,Thomas,0,Oneonta,,,71,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20038,Denoville,,0,Oneonta,,,,,71,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01722,Devlin,James,0,Rome,,,50,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21308,Devlin,,0,Rome,,,,,,,,,,,,,49,,
minoraverages/1950TSN,1949,Canadian-American League,,B00045,Dieckleman,John,0,Schenectady,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20014,Dieckleman,,0,Schenectady,,,,,17,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01983,Dopkin,John,0,Quebec,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21747,Dopkin,,0,Quebec,,,,,,,,,,,,,,17,
minoraverages/1950TSN,1949,Canadian-American League,,P10550,Dopkin,,0,Quebec,,,,17,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00442,Downs,Benjamin,0,Gloversville-Johnstown,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21278,Downs,,0,Gloversville-Johnstown,,,,,,,,,19,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01787,Dworak,Joseph,0,Gloversville-Johnstown,,,35,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21957,Dworak,,0,Gloversville-Johnstown,,,,,,,,,,,,,,35,
minoraverages/1950TSN,1949,Canadian-American League,,P10336,Dworak,,0,Gloversville-Johnstown,,,,35,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00726,Earnest,Thomas,0,Schenectady,,,53,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21794,Earnest,,0,Schenectady,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,Canadian-American League,,P10100,Earnest,,0,Schenectady,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B00059,Elko,Peter,0,Quebec,,,104,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F20539,Elko,,0,Quebec,,,,,,,16,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21163,Elko,,0,Quebec,,,,,,,,,88,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01572,Erickson,Harold,0,Quebec,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21672,Erickson,,0,Quebec,,,,,,,,,,,,,,36,
minoraverages/1950TSN,1949,Canadian-American League,,P10035,Erickson,,0,Quebec,,,,36,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,B01861,Fabbro,Arthur,0,Amsterdam,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Canadian-American League,,F21651,Fabbro,,0,Amsterdam,,,,,,,,,,,,,,23,
