source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Cotton States League,,B00434,Acton,James,0,Greenville,,,93,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20046,Acton,,0,Greenville,,,,,70,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21403,Acton,,0,Greenville,,,,,,,,,,,,,15,,
minoraverages/1950TSN,1949,Cotton States League,,M90052,Acton,James,,Greenville,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01275,Adams,Robert,0,Greenville,,,139,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20430,Adams,,0,Greenville,,,,,,,,139,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00623,Albrecht,Edward,0,Pine Bluff,,,64,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21957,Albrecht,,0,Pine Bluff,,,,,,,,,,,,,,58,
minoraverages/1950TSN,1949,Cotton States League,,P10081,Albrecht,,0,Pine Bluff,,,,58,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00149,Anderson,Richard,0,Hot Springs,,,128,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21037,Anderson,,0,Hot Springs,,,,,,,,,128,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00771,Armstrong,Carl,1,El Dorado,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00771,Armstrong,Carl,2,Helena,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00771,Armstrong,Carl,T,,,,119,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20547,Armstrong,,1,El Dorado,,,,,,,,yes,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20547,Armstrong,,2,Helena,,,,,,,,yes,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20547,Armstrong,,T,,,,,,,,,22,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20661,Armstrong,,1,El Dorado,,,,,,,yes,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20661,Armstrong,,2,Helena,,,,,,,yes,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20661,Armstrong,,T,,,,,,,,97,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00264,Austin,Pelham,0,Hot Springs,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20222,Austin,,0,Hot Springs,,,,,,61,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20768,Austin,,0,Hot Springs,,,,,,,71,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00752,Baker,Ray,0,Helena,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01885,Baker,Charles,0,Pine Bluff,,,35,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20832,Baker,,0,Helena,,,,,,,,,24,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22057,Baker,,0,Pine Bluff,,,,,,,,,,,,,,35,
minoraverages/1950TSN,1949,Cotton States League,,M90129,Baker,Ray,,Helena,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10611,Baker,,0,Pine Bluff,,,,35,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01119,Bareford,Robert,0,Greenwood,,,101,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21427,Bareford,,0,Greenwood,,,,,,,,,,,,,71,,
minoraverages/1950TSN,1949,Cotton States League,,F22295,Bareford,,0,Greenwood,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01682,Barnes,Calvin,0,Helena,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22127,Barnes,,0,Helena,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,Cotton States League,,P10361,Barnes,,0,Helena,,,,21,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01572,Bates,Fred,0,Greenville,,,41,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22048,Bates,,0,Greenville,,,,,,,,,,,,,,40,
minoraverages/1950TSN,1949,Cotton States League,,P10231,Bates,,0,Greenville,,,,40,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01779,Bellamy,Dave C.,0,Natchez,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20505,Bellamy,,0,Natchez,,,,,,,,14,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01055,Benish,Robert,0,Helena,,,56,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20038,Benish,,0,Helena,,,,,41,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21680,Benish,,0,Helena,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Cotton States League,,M90141,Benish,Robert,,Helena,19490619,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10035,Benish,,0,Helena,,,,11,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01086,Binger,Roy A.,0,Natchez,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20855,Binger,,0,Natchez,,,,,,,,,15,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01857,Bivin,James,0,Greenwood,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21651,Bivin,,0,Greenwood,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Cotton States League,,M90018,Bivin,James,,Greenwood,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10100,Bivin,,0,Greenwood,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00544,Black,Donald L.,0,Greenville,,,130,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20131,Black,,0,Greenville,,,,,45,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20997,Black,,0,Greenville,,,,,,,,,87,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01313,Blake,Dean,0,Helena,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20552,Blake,,0,Helena,,,,,,,,16,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00488,Blumenthal,Bruce,0,Clarksdale,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21370,Blumenthal,,0,Clarksdale,,,,,,,,,,,,,26,,
minoraverages/1950TSN,1949,Cotton States League,,B01041,Bridges,Olen W. (Jack),0,Natchez,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20583,Bridges,,0,Natchez,,,,,,,,10,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22307,Bridges,,0,Natchez,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00286,Broussard,Lester,0,El Dorado,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10464,Broussard,,0,El Dorado,,,,7,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00667,Buck,Thomas,0,Greenville,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20784,Buck,,0,Greenville,,,,,,,13,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00196,Buerger,Walter,1,Clarksdale,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00196,Buerger,Walter,2,Helena,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00196,Buerger,Walter,T,,,,140,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20943,Buerger,,1,Clarksdale,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20943,Buerger,,2,Helena,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20943,Buerger,,T,,,,,,,,,,139,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01523,Burns,James,0,Clarksdale,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21771,Burns,,0,Clarksdale,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Cotton States League,,P10056,Burns,,0,Clarksdale,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01010,Caccavo,Daniel,0,Hot Springs,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21973,Caccavo,,0,Hot Springs,,,,,,,,,,,,,,32,
minoraverages/1950TSN,1949,Cotton States League,,P10176,Caccavo,,0,Hot Springs,,,,32,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00084,Cantrell,Ben,0,Pine Bluff,,,136,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21125,Cantrell,,0,Pine Bluff,,,,,,,,,132,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00403,Chandler,Jack,0,Natchez,,,126,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21149,Chandler,,0,Natchez,,,,,,,,,120,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00590,Chiola,Dominic,1,Helena,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00590,Chiola,Dominic,2,El Dorado,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00590,Chiola,Dominic,T,,,,136,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20240,Chiola,,1,Helena,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20240,Chiola,,2,El Dorado,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20240,Chiola,,T,,,,,,,136,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00362,Chozen,Harry,0,Pine Bluff,,,114,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21362,Chozen,,0,Pine Bluff,,,,,,,,,,,,,102,,
minoraverages/1950TSN,1949,Cotton States League,,M90047,Chozen,Harry,,Pine Bluff,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00324,Christy,Peter,0,Pine Bluff,,,121,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20072,Christy,,0,Pine Bluff,,,,,121,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00904,Cichon,Frank,0,Greenville,,,50,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21264,Cichon,,0,Greenville,,,,,,,,,50,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01402,Clarke,Douglas,0,El Dorado,,,62,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21255,Clarke,,0,El Dorado,,,,,,,,,61,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00343,Close,William,0,Hot Springs,,,124,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20449,Close,,0,Hot Springs,,,,,,,,122,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00822,Colasinski,Joseph,0,Greenwood,,,93,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21528,Colasinski,,0,Greenwood,,,,,,,,,,,,,69,,
minoraverages/1950TSN,1949,Cotton States League,,F22267,Colasinski,,0,Greenwood,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00718,Collins,Robert,0,Natchez,,,117,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20792,Collins,,0,Natchez,,,,,,,51,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21207,Collins,,0,Natchez,,,,,,,,,55,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00502,Conner,William,0,Clarksdale,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21117,Conner,,0,Clarksdale,,,,,,,,,10,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00037,Coss,Roy,0,El Dorado,,,72,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21076,Coss,,0,El Dorado,,,,,,,,,72,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01444,Cracchiolo,Frank,0,Natchez,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20023,Cracchiolo,,0,Natchez,,,,,13,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01181,Creekmore,Eugene,0,Hot Springs,,,34,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21163,Creekmore,,0,Hot Springs,,,,,,,,,34,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01007,Custer,Jack,0,Natchez,,,106,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20080,Custer,,0,Natchez,,,,,106,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00397,Dahlberg,Clinton,0,Clarksdale,,,48,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21278,Dahlberg,,0,Clarksdale,,,,,,,,,42,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,M90107,Dahlberg,Clint,,Clarksdale,19490709,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01032,Danna,Jesse,0,Helena,,,47,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20190,Danna,,0,Helena,,,,,15,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21293,Danna,,0,Helena,,,,,,,,,11,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21811,Danna,,0,Helena,,,,,,,,,,,,,,13,
minoraverages/1950TSN,1949,Cotton States League,,P10441,Danna,,0,Helena,,,,13,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01601,Daugherty,Ralph,0,El Dorado,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22099,Daugherty,,0,El Dorado,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Cotton States League,,P10145,Daugherty,,0,El Dorado,,,,11,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00158,Davis,Wendall,0,Greenville,,,51,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00475,Davis,Ernest,0,Clarksdale,,,137,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20102,Davis,,0,Greenville,,,,,36,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21000,Davis,,0,Clarksdale,,,,,,,,,94,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21434,Davis,,0,Clarksdale,,,,,,,,,,,,,44,,
minoraverages/1950TSN,1949,Cotton States League,,F21865,Davis,,0,Greenville,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Cotton States League,,M90083,Davis,Ernest,,Clarksdale,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,M90110,Davis,Ernest,,Clarksdale,19490823,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10121,Davis,,0,Greenville,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00609,De Kucia,Nicholas,0,Greenville,,,84,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20254,De Luca,,0,Greenville,,,,,,27,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20604,De Luca,,0,Greenville,,,,,,,58,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01431,Demyan,Frank,0,Natchez,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22150,Demyan,,0,Natchez,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Cotton States League,,P10410,Demyan,,0,Natchez,,,,16,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01250,Deters,Paul,0,Greenville,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21210,Deters,,0,Greenville,,,,,,,,,25,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00163,Dlugokecki,Henry,0,Greenville,,,82,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20810,Dlugokecki,,0,Greenville,,,,,,,,,40,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21948,Dlugokecki,,0,Greenville,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,Cotton States League,,P10070,Dlugokecki,,0,Greenville,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00021,Dorsey,William,0,El Dorado,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22238,Dorsey,,0,El Dorado,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01291,English,Leon,0,Pine Bluff,,,61,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20699,English,,0,Pine Bluff,,,,,,,12,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20864,English,,0,Pine Bluff,,,,,,,,,15,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21286,Falappino,,0,Greenwood,,,,,,,,,42,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00726,Fallappino,Guido,0,Greenwood,,,42,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00319,Fallon,William,0,Greenville,,,121,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20265,Fallon,,0,Greenville,,,,,,84,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20737,Fallon,,0,Greenville,,,,,,,38,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00335,Fischer,William,0,Hot Springs,,,43,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21566,Fischer,,0,Hot Springs,,,,,,,,,,,,,,34,
minoraverages/1950TSN,1949,Cotton States League,,P10312,Fischer,,0,Hot Springs,,,,34,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01722,Fox,Lawrence,0,Natchez,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22175,Fox,,0,Natchez,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Cotton States League,,M90060,Fox,Ervin (Pete),,Hot Springs,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10527,Fox,,0,Natchez,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01490,Gabos,John,0,Hot Springs,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21021,Gabos,,0,Hot Springs,,,,,,,,,13,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01477,Gabrych,Raymond,0,Greenville,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20594,Gabrych,,0,Greenville,,,,,,,11,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22280,Gabrych,,0,Greenville,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00680,Giaratano,Joseph,0,Pine Bluff,,,138,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20369,Giaratano,,0,Pine Bluff,,,,,,138,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00210,Gilbert,James,0,Natchez,,,126,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20962,Gilbert,,0,Natchez,,,,,,,,,126,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01820,Gillespie,Frank,0,Clarksdale,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21614,Gillespie,,0,Clarksdale,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Cotton States League,,P10062,Gillespie,,0,Clarksdale,,,,16,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01918,Golembiewski,Edward,1,Helena,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01918,Golembiewski,Edward,2,Clarksdale,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01918,Golembiewski,Edward,T,,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01197,Goss,Copeland,0,El Dorado,,,58,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21904,Goss,,0,El Dorado,,,,,,,,,,,,,,32,
minoraverages/1950TSN,1949,Cotton States League,,F22246,Goss,,0,El Dorado,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,P10304,Goss,,0,El Dorado,,,,32,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01551,Graham,Thomas,0,Pine Bluff,,,42,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21833,Graham,,0,Pine Bluff,,,,,,,,,,,,,,34,
minoraverages/1950TSN,1949,Cotton States League,,P10043,Graham,,0,Pine Bluff,,,,34,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B00045,Grammas,C. Peter,0,Hot Springs,,,60,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20458,Grammas,,0,Hot Springs,,,,,,,,23,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20956,Grammas,,0,Hot Springs,,,,,,,,,34,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01861,Grant,Roy,0,Hot Springs,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F22169,Grant,,0,Hot Springs,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Cotton States League,,P10429,Grant,,0,Hot Springs,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,B01124,Griffey,James,0,Natchez,,,49,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21502,Gruffey,,0,Natchez,,,,,,,,,,,,,47,,
minoraverages/1950TSN,1949,Cotton States League,,B00059,Gugala,John,0,Hot Springs,,,47,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21397,Gugala,,0,Hot Springs,,,,,,,,,,,,,41,,
minoraverages/1950TSN,1949,Cotton States League,,B00101,Hall,Donald,0,Greenwood,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F20342,Hall,,0,Greenwood,,,,,,33,,,,,,,,,
minoraverages/1950TSN,1949,Cotton States League,,F21747,Hall,,0,Greenwood,,,,,,,,,,,,,,26,
