source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,East Texas League,,B00614,Albritton,Dempsey,0,Bryan,,,72,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20265,Albritton,,0,Bryan,,,,,,72,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B01546,Alexander,O. Leroy,0,Kilgore,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B01722,Alexander,Marvin,0,Gladewater,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20673,Alexander,L.,0,Kilgore,,,,,,,,11,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F21469,Alexander,M.,0,Gladewater,,,,,,,,,,,,,,20,
minoraverages/1950TSN,1949,East Texas League,,P10429,Alexander,M.,0,Gladewater,,,,20,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B00427,Ashcraft,James E.,1,Longview,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B00427,Ashcraft,James E.,2,Henderson,,,84,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B00427,Ashcraft,James E.,T,,,,112,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20943,Ashcraft,,1,Longview,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20943,Ashcraft,,2,Henderson,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20943,Ashcraft,,T,,,,,,,,,,107,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B00278,Balais,Alex,0,Longview,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F21623,Balais,,0,Longview,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,East Texas League,,P10228,Balais,,0,Longview,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B01007,Barron,Bobby,0,Tyler,,,36,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20721,Barron,,0,Tyler,,,,,,,,34,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B00045,Bartkowski,Stanley,0,Paris,,,137,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F20919,Bartkowski,,0,Paris,,,,,,,,,137,,,,,,
minoraverages/1950TSN,1949,East Texas League,,B01431,Belakovy,Rudy,0,Kilgore,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,East Texas League,,F22048,Belakovy,,0,Kilgore,,,,,,,,,,,,,,20,
