source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Eastern Shore League,,B00491,Aegeros,James,0,Salisbury,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01108,Allison,Robert,0,Easton,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21117,Allison,,0,Easton,,,,,,,,,,,,,,24,
minoraverages/1950TSN,1949,Eastern Shore League,,P10290,Allison,,0,Easton,,,,24,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00174,Anderson,Andrew,0,Easton,,,107,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20935,Anderson,,0,Easton,,,,,,,,,,,,,101,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00912,Andre,John,0,Rehoboth Beach,,,35,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21264,Andre,,0,Rehoboth Beach,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Eastern Shore League,,P10137,Andre,,0,Rehoboth Beach,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00739,Andrejko,Edward,0,Seaford,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20886,Andrejko,,0,Seaford,,,,,,,,,23,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21045,Argeros,,0,Salisbury,,,,,,,,,,,,,24,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00898,Arrildt,William,0,Cambridge,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21502,Arrildt,,0,Cambridge,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Eastern Shore League,,P10145,Arrildt,,0,Cambridge,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00264,Backo,John,0,Easton,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01181,Baker,Leonard,0,Federalsburg,,,42,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21356,Baker,,0,Federalsburg,,,,,,,,,,,,,,42,
minoraverages/1950TSN,1949,Eastern Shore League,,P10035,Baker,,0,Federalsburg,,,,41,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00760,Barney,Lester,0,Cambridge,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21076,Barney,,0,Cambridge,,,,,,,,,,,,,20,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01291,Benedict,Hoyt,0,Salisbury,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21397,Benedict,,0,Salisbury,,,,,,,,,,,,,,17,
minoraverages/1950TSN,1949,Eastern Shore League,,P10070,Benedict,,0,Salisbury,,,,17,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01216,Bennett,Jack,0,Cambridge,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00356,Berger,Ronald,0,Salisbury,,,106,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20700,Berger,,0,Salisbury,,,,,,,,,106,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00566,Bertocci,Dominic,0,Cambridge,,,89,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20648,Bertocci,,0,Cambridge,,,,,,,,,89,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00614,Betcher,Ralph,0,Rehoboth Beach,,,119,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20391,Betcher,,0,Rehoboth Beach,,,,,,,119,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01288,Bradford,Ray,0,Federalsburg,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21293,Bradford,,0,Federalsburg,,,,,,,,,,,,,,28,
minoraverages/1950TSN,1949,Eastern Shore League,,P10168,Bradford,,0,Federalsburg,,,,28,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00021,Bragg,Gordon,0,Easton,,,94,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20612,Bragg,,0,Easton,,,,,,,,,94,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00450,Brezezowski,Anthony,0,Cambridge,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,P10277,Brown,,0,Salisbury,,,,9,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00705,Browning,Gene,0,Federalsburg,,,74,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21021,Browning,,0,Federalsburg,,,,,,,,,,,,,71,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21434,Brzezowski,,0,Cambridge,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,Eastern Shore League,,P10266,Brzezowski,,0,Cambridge,,,,12,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01431,Bucco,Richard,0,Seaford,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20745,Bucco,,0,Seaford,,,,,,,,,10,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00806,Bucha,Anthony,0,Seaford,,,103,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20962,Bucha,,0,Seaford,,,,,,,,,,,,,101,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01119,Burnette,Wallace,0,Easton,,,26,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21101,Burnette,,0,Easton,,,,,,,,,,,,,,26,
minoraverages/1950TSN,1949,Eastern Shore League,,P10056,Burnette,,0,Easton,,,,26,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00241,Burnham,John,0,Federalsburg,,,99,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20458,Burnham,,0,Federalsburg,,,,,,,97,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B01466,Butler,Ralph,0,Cambridge,,,31,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F21229,Butler,,0,Cambridge,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Eastern Shore League,,P10202,Butler,,0,Cambridge,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00207,Campbell,Earl,0,Rehoboth Beach,,,46,,,,,,,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,F20661,Campbell,,0,Rehoboth Beach,,,,,,,,,36,,,,,,
minoraverages/1950TSN,1949,Eastern Shore League,,B00278,Caputo,John,0,Federalsburg,,,120,,,,,,,,,,,,
