source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Far West League,abreu,M90083,Abreu,Joseph,,Santa Rosa,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,B00488,Adams,Raymond,1,Santa Rosa,,,84,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,B00488,Adams,Raymond,2,Redding,,,3,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,B00488,Adams,Raymond,T,,,,87,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,F20222,Adams,,1,Santa Rosa,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,F20222,Adams,,2,Redding,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,F20222,Adams,,T,,,,,,,11,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,F20924,Adams,,1,Santa Rosa,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,F20924,Adams,,2,Redding,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Far West League,adams,F20924,Adams,,T,,,,,,,,,,75,,,,,,
minoraverages/1950TSN,1949,Far West League,anthony,B01234,Anthony,Harry,0,Marysville,,,107,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,anthony,F20369,Anthony,,0,Marysville,,,,,,39,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,anthony,F20526,Anthony,,0,Marysville,,,,,,,65,,,,,,,,
minoraverages/1950TSN,1949,Far West League,appleby,B01477,Appleby,Donald,0,Willows,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,appleby,F21752,Appleby,,0,Willows,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Far West League,appleby,P10373,Appleby,,0,Willows,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ardito,B01250,Ardito,Jas. Del,1,Santa Rosa,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ardito,B01250,Ardito,Jas. Del,2,Pittsburg,,,4,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ardito,B01250,Ardito,Jas. Del,T,,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ashby,B00324,Ashby,Wendell,0,Willows,,,31,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ashby,F21381,Ashby,,0,Willows,,,,,,,,,,,,,30,,
minoraverages/1950TSN,1949,Far West League,ashley,B00491,Ashley,Billy,0,Marysville,,,122,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ashley,F20051,Ashley,,0,Marysville,,,,,122,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ball,B00948,Ball,Samuel,1,Vallejo,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ball,B00948,Ball,Samuel,2,Santa Rosa,,,8,,,,,,,,,,,,
minoraverages/1950TSN,1949,Far West League,ball,B00948,Ball,Samuel,T,,,,40,,,,,,,,,,,,
