source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Florida International League,ackeret,B00125,Ackeret,James,0,St. Petersburg,,,57,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,ackeret,F20449,Ackeret,,0,St. Petersburg,,,,,,,20,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,ackeret,F20612,Ackeret,,0,St. Petersburg,,,,,,,,37,,,,,,,
minoraverages/1950TSN,1949,Florida International League,acton,B01108,Acton,Cecil,0,Lakeland,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,acton,F20334,Acton,,0,Lakeland,,,,,,13,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,acton,F20342,Acton,,0,Lakeland,,,,,,,17,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,adkins,B00840,Adkins,Glen,0,Tampa,,,140,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,adkins,F20388,Adkins,,0,Tampa,,,,,,,124,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,aleno,B00207,Aleno,Charles,0,Fort Lauderdale,,,148,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,aleno,F20417,Aleno,,0,Fort Lauderdale,,,,,,,146,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,aleno,F21646,Aleno,,0,Fort Lauderdale,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Florida International League,aleno,M90083,Aleno,Charles,,Fort Lauderdale,,,,,,,,,,,,,,,
researchers/mcconnell,1949,Florida International League,,FSVHMHQ,Aleno,Chuck,,Fort Lauderdale,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,anderson,B00381,Anderson,Harry,0,St. Petersburg,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,anderson,F20067,Anderson,,0,St. Petersburg,,,,,138,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,andrews,B00229,Andrews,Stanley,0,West Palm Beach,,,116,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,andrews,F21491,Andrews,,0,West Palm Beach,,,,,,,,,,,,,106,,
minoraverages/1950TSN,1949,Florida International League,angelevski,B00308,Angelevski,Philip,0,West Palm Beach,,,111,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,angelevski,F20095,Angelevski,,0,West Palm Beach,,,,,95,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,angelevski,F21158,Angelevski,,0,West Palm Beach,,,,,,,,,12,,,,,,
minoraverages/1950TSN,1949,Florida International League,asmer,B00174,Asmer,John,0,Fort Lauderdale,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,asmer,F21672,Asmer,,0,Fort Lauderdale,,,,,,,,,,,,,,10,
minoraverages/1950TSN,1949,Florida International League,asmer,P10679,Asmer,,0,Fort Lauderdale,,,,10,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,azpiazu,B00182,Azpiazu,Justo,0,Havana,,,104,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,azpiazu,F20072,Azpiazu,,0,Havana,,,,,103,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bardin,B01740,Bardin,David,1,Fort Lauderdale,,,6,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bardin,B01740,Bardin,David,2,Lakeland,,,8,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bardin,B01740,Bardin,David,T,,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bardin,F22191,Bardin,,1,Fort Lauderdale,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Florida International League,bardin,F22191,Bardin,,2,Lakeland,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Florida International League,bardin,F22191,Bardin,,T,,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Florida International League,bass,B00403,Bass,Edward,0,Fort Lauderdale,,,71,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bass,F21125,Bass,,0,Fort Lauderdale,,,,,,,,,71,,,,,,
minoraverages/1950TSN,1949,Florida International League,bearden,B00771,Bearden,Wm. (Jack),1,Tampa,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bearden,B00771,Bearden,Wm. (Jack),2,St. Petersburg,,,6,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bearden,B00771,Bearden,Wm. (Jack),T,,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bearden,F20829,Bearden,,1,Tampa,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Florida International League,bearden,F20829,Bearden,,2,St. Petersburg,,,,,,,,,yes,,,,,,
minoraverages/1950TSN,1949,Florida International League,bearden,F20829,Bearden,,T,,,,,,,,,,27,,,,,,
minoraverages/1950TSN,1949,Florida International League,beaty,B00021,Beaty,Frank,1,St. Petersburg,,,7,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,beaty,B00021,Beaty,Frank,2,Fort Lauderdale,,,4,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,beaty,B00021,Beaty,Frank,T,,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,beazley,B01617,Beazley,John,0,St. Petersburg,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,beazley,F21811,Beazley,,0,St. Petersburg,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,Florida International League,beazley,M90110,Beazley,John,,St. Petersburg,19490515,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,beazley,P10534,Beazley,,0,St. Petersburg,,,,12,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bell,B00515,Bell,Frederick,0,St. Petersburg,,,146,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bell,F21130,Bell,,0,St. Petersburg,,,,,,,,,141,,,,,,
minoraverages/1950TSN,1949,Florida International League,bernal,B01291,Bernal,Lazaro,0,Miami Beach,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,bernal,F20864,Bernal,,0,Miami Beach,,,,,,,,,12,,,,,,
minoraverages/1950TSN,1949,Florida International League,biershenk,B00865,Biershenk,George,0,Lakeland,,,115,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,biershenk,F20425,Biershenk,,0,Lakeland,,,,,,,68,,,,,,,,
minoraverages/1950TSN,1949,Florida International League,biershenk,F20737,Biershenk,,0,Lakeland,,,,,,,,29,,,,,,,
