source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Florida State League,,B00286,Acosta,Julio,1,Leesburg,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B00286,Acosta,Julio,2,DeLand,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B00286,Acosta,Julio,T,,,,63,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20115,Acosta,,1,Leesburg,,,,,yes,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20115,Acosta,,2,DeLand,,,,,yes,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20115,Acosta,,T,,,,,,35,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20970,Acosta,,1,Leesburg,,,,,,,,,,yes,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20970,Acosta,,2,DeLand,,,,,,,,,,yes,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20970,Acosta,,T,,,,,,,,,,,21,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21158,Acosta,,1,Leesburg,,,,,,,,,,,yes,,,,
minoraverages/1950TSN,1949,Florida State League,,F21158,Acosta,,2,DeLand,,,,,,,,,,,yes,,,,
minoraverages/1950TSN,1949,Florida State League,,F21158,Acosta,,T,,,,,,,,,,,,12,,,,
minoraverages/1950TSN,1949,Florida State League,,F22142,Acosta,,0,Leesburg,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,Florida State League,,M90129,Acosta,Julian,,Leesburg,19490428,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B00229,Allen,Donald,0,Gainesville,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20067,Allen,,0,Gainesville,,,,,133,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21101,Alonso,,0,Palatka,,,,,,,,,,,17,,,,
minoraverages/1950TSN,1949,Florida State League,,F21264,Alonso,,0,Palatka,,,,,,,,,,,,14,,,
minoraverages/1950TSN,1949,Florida State League,,B00904,Alonzo,John,0,Palatka,,,31,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01170,Anderson,Robert,1,Leesburg,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01170,Anderson,Robert,2,DeLand,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01170,Anderson,Robert,T,,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01392,Arago,Hector,0,Leesburg,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20547,Arragno,,0,Leesburg,,,,,,,,97,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01216,Arragon,James,0,Leesburg,,,97,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20943,Arrogo,,0,Palatka,,,,,,,,,,11,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21705,Arroya,,0,Palatka,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,Florida State League,,P10373,Arroya,,0,Palatka,,,,21,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B00623,Arroyo,Blas,0,Palatka,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F22103,Asbiradge,,0,Palatka,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,Florida State League,,B01798,Asbridge,George,0,Palatka,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,P10527,Asbridge,,0,Palatka,,,,21,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01523,Bailey,Howard,0,Daytona Beach,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21840,Bailey,,0,Daytona Beach,,,,,,,,,,,,,,17,
minoraverages/1950TSN,1949,Florida State League,,P10176,Bailey,,0,Daytona Beach,,,,17,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01625,Ballard,Louis,1,DeLand,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01625,Ballard,Louis,2,St. Augustine,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01625,Ballard,Louis,T,,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21833,Ballard,,1,DeLand,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Florida State League,,F21833,Ballard,,2,St. Augustine,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Florida State League,,F21833,Ballard,,T,,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Florida State League,,P10441,Ballard,,1,DeLand,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,P10441,Ballard,,2,St. Augustine,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,P10441,Ballard,,T,,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01162,Barga,Richard,0,Sanford,,,68,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21434,Barga,,0,Sanford,,,,,,,,,,,,,78,,
minoraverages/1950TSN,1949,Florida State League,,B00833,Barry,Lawrence,0,Sanford,,,31,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01572,Barry,Samuel,0,Orlando,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20935,Barry,,0,Orlando,,,,,,,,,,11,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21912,Barry,,0,Sanford,,,,,,,,,,,,,,31,
minoraverages/1950TSN,1949,Florida State League,,P10215,Barry,,0,Sanford,,,,31,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01428,Barski,John,0,Palatka,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21879,Barski,,0,Palatka,,,,,,,,,,,,,,27,
minoraverages/1950TSN,1949,Florida State League,,P10361,Barski,,0,Palatka,,,,27,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B00488,Bass,Edward,0,DeLand,,,48,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21324,Bass,,0,DeLand,,,,,,,,,,,,48,,,
minoraverages/1950TSN,1949,Florida State League,,B00362,Bearden,Jack,0,Palatka,,,69,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21021,Bearden,,0,Palatka,,,,,,,,,,,68,,,,
minoraverages/1950TSN,1949,Florida State League,,B01765,Bello,Camilo,0,Leesburg,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01007,Benes,James,0,St. Augustine,,,39,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,P10062,Benes,,0,St. Augustine,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B01300,Benito,Joseph,0,Palatka,,,50,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20153,Benito,,0,Palatka,,,,,,50,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,B00324,Bernstein,Leonard,0,DeLand,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F21084,Bernstein,,0,DeLand,,,,,,,,,,,16,,,,
minoraverages/1950TSN,1949,Florida State League,,B01509,Beverly,Charles,0,Gainesville,,,55,,,,,,,,,,,,
minoraverages/1950TSN,1949,Florida State League,,F20206,Beverly,,0,Gainesville,,,,,,54,,,,,,,,,
