source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00705,Adams,Robert,0,Tallassee,121,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20526,Adams,,0,Tallassee,,,,,,121,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00068,Adcock,Robert,0,Griffin,92,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21130,Adcock,,0,Griffin,,,,,,,92,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00680,Alonso,John,0,Alexander City,72,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21013,Alonso,,0,Alexander City,,,,,,,72,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00084,Ball,James,0,Opelika,115,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20935,Ball,,0,Opelika,,,,,,,115,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,M90094,Ball,James,,Opelika,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01041,Bartholomew,Jack,0,Carrollton,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20350,Bartholomew,,0,Carrollton,,,,15,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01368,Battistelli,Angelo,0,Griffin,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20661,Battistelli,,0,Griffin,,,,,,18,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01546,Beach,Edward,0,Valley,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21672,Beach,,0,Valley,,,,,,,,,,,,32,
minoraverages/1950TSN,1949,Georgia-Alabama League,,P10062,Beach,,0,Valley,,32,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00887,Berg,Edward,0,Tallassee,117,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20254,Berg,,0,Tallassee,,,,117,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00999,Berman,Norman,0,Carrollton,112,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20233,Berman,,0,Carrollton,,,,112,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01234,Bianchi,Frank,0,Griffin,17,,,,,,,,,,,,
