source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Georgia-Florida League,,B00335,Abadie,Benjamin,0,Waycross,,,76,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21021,Abadie,,0,Waycross,,,,,,,,,75,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00531,Adamcewicz,Erwin,0,Albany,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20919,Adamcewicz,,0,Albany,,,,,,,,,27,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00442,Adcock,Robert,0,Thomasville,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21149,Adcock,,0,Thomasville,,,,,,,,,25,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20046,Alexson,,0,Valdosta,,,,,130,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,M90026,Alexson,Andrew,,Valdosta,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00241,Alexson (Alexopoulas),Andrew,0,Valdosta,,,131,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00794,Andres,Robert,0,Thomasville,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21854,Andres,,0,Thomasville,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Georgia-Florida League,,P10081,Andres,,0,Thomasville,,,,11,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01108,Asmer,John,0,Moultrie,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F22004,Asmer,,0,Moultrie,,,,,,,,,,,,,,24,
minoraverages/1950TSN,1949,Georgia-Florida League,,P10399,Asmer,,0,Moultrie,,,,24,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01321,Atzert,George,0,Moultrie,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21794,Atzert,,0,Moultrie,,,,,,,,,,,,,,25,
minoraverages/1950TSN,1949,Georgia-Florida League,,P10145,Atzert,,0,Moultrie,,,,25,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00672,Austin,Alvin,0,Waycross,,,122,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20956,Austin,,0,Waycross,,,,,,,,,122,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00904,Bales,Jack,0,Thomasville,,,69,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21427,Bales,,0,Thomasville,,,,,,,,,,,,,60,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01567,Bandoch,Edward,0,Tallahassee,,,26,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21450,Bandoch,,0,Tallahassee,,,,,,,,,,,,,24,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01156,Bender,Sheldon,0,Albany,,,41,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21718,Bender,,0,Albany,,,,,,,,,,,,,,26,
minoraverages/1950TSN,1949,Georgia-Florida League,,M90018,Bender,Sheldon,,Albany,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,P10056,Bender,,0,Albany,,,,26,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01170,Beverly,Charles,0,Waycross,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20222,Beverly,,0,Waycross,,,,,,12,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01711,Bledsoe,William,0,Valdosta,,,30,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21638,Bledsoe,,0,Valdosta,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Georgia-Florida League,,P10137,Bledsoe,,0,Valdosta,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00651,Bloodworth,Charles,0,Waycross,,,95,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20776,Bloodworth,,0,Waycross,,,,,,,,,79,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00840,Boatwright,John,0,Moultrie,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21255,Boatwright,,0,Moultrie,,,,,,,,,24,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20327,Bodnar,,0,Albany,,,,,,131,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01029,Bodner,Albert,0,Albany,,,132,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01682,Boggan,George,0,Albany,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21865,Boggan,,0,Albany,,,,,,,,,,,,,,28,
minoraverages/1950TSN,1949,Georgia-Florida League,,P10277,Boggan,,0,Albany,,,,28,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00973,Bollman,William,0,Tallahassee,,,130,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20190,Bollman,,0,Tallahassee,,,,,10,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20265,Bollman,,0,Tallahassee,,,,,,15,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20496,Bollman,,0,Tallahassee,,,,,,,45,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20673,Bollman,,0,Tallahassee,,,,,,,,53,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01551,Bonds,Kenneth,0,Americus,,,42,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21370,Bonds,,0,Americus,,,,,,,,,,,,,41,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01078,Bradshaw,Hugh,0,Tallahassee,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21475,Bradshaw,,0,Tallahassee,,,,,,,,,,,,,20,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00985,Bremer,Walter,0,Waycross,,,102,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20430,Bremer,,0,Waycross,,,,,,,92,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B01765,Brennan,Wilbur,0,Moultrie,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F21232,Brennan,,0,Moultrie,,,,,,,,,15,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00623,Brill,Stanley,0,Moultrie,,,137,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20233,Brill,,0,Moultrie,,,,,,137,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,B00614,Broukal,William,0,Cordele,,,137,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Florida League,,F20713,Broukal,,0,Cordele,,,,,,,,137,,,,,,,
