source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Hamilton,1949,Kansas-Oklahoma-Missouri League,,B00163,Alsop,Charles,0,Carthage,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Kansas-Oklahoma-Missouri League,,P10622,Alsop,Charles,0,Carthage,,,,2,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00726,Ananias,Nicholas,0,Independence,,,59,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F20102,Ananias,,0,Independence,,,,,59,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00149,Anderson,James,0,Miami,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00416,Anderson,Donald,0,Carthage,,,106,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00794,Anderson,William,0,Iola,,,123,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F20177,Anderson,,0,Carthage,,,,,25,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F20240,Anderson,,0,Carthage,,,,,,81,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F20287,Anderson,,0,Iola,,,,,,123,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F21319,Anderson,J.,0,Miami,,,,,,,,,,,,,19,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,M90071,Anderson,Donald,,Carthage,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Kansas-Oklahoma-Missouri League,,B00822,Antonson,Dean,0,Ponca City,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Kansas-Oklahoma-Missouri League,,P10137,Antonson,Dean,0,Ponca City,,,,4,,,,,,,,,,,
minoraverages/Hamilton,1949,Kansas-Oklahoma-Missouri League,,B00833,Atchley,Burl,0,Ponca City,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B01514,Bagley,Walter,0,Bartlesville,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B01376,Bale,Lawrence,0,Pittsburg,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F21232,Bale,,0,Pittsburg,,,,,,,,,22,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00174,Barclay,Donald,0,Carthage,,,30,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F20832,Barclay,,0,Carthage,,,,,,,,,30,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00488,Barkus,Albert,0,Pittsburg,,,43,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F21806,Barkus,,0,Pittsburg,,,,,,,,,,,,,,18,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,M90094,Barkus,Albert,,Pittsburg,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,M90107,Barkus,Albert,,Pittsburg,19490721,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,P10168,Barkus,,0,Pittsburg,,,,18,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,B00434,Bartley,Boyd,0,Ponca City,,,28,,,,,,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,F20594,Bartley,,0,Ponca City,,,,,,,,18,,,,,,,
minoraverages/1950TSN,1949,Kansas-Oklahoma-Missouri League,,M90047,Bartley,Boyd,,Ponca City,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Kansas-Oklahoma-Missouri League,,B00013,Barton,Samuel,0,Bartlesville,,,,,,,,,,,,,,,
