source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Middle Atlantic League,,B01804,Allen,William,0,New Castle,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B01947,Anderson,Clarence,0,Johnstown,,,19,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21566,Anderson,,0,Johnstown,,,,,,,,,,,,,,19,
minoraverages/1950TSN,1949,Middle Atlantic League,,P10159,Anderson,,0,Johnstown,,,,19,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B00149,Arduini,Salvatore,0,Butler,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F20417,Arduini,,0,Butler,,,,,,,17,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B01156,Asbill,Joseph,0,Erie,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21920,Asbill,,0,Erie,,,,,,,,,,,,,,22,
minoraverages/1950TSN,1949,Middle Atlantic League,,P10192,Asbill,,0,Erie,,,,22,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B00416,Ballestrini,Richard,0,Johnstown,,,77,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21370,Ballestrini,,0,Johnstown,,,,,,,,,,,,,69,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B01926,Barrow,Raymond,0,Butler,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21577,Barrow,,0,Butler,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Middle Atlantic League,,B01674,Battles,Kenneth,0,Oil City,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21904,Battles,,0,Oil City,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Middle Atlantic League,,P10527,Battles,,0,Oil City,,,,16,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B00469,Beacham,Walter,0,Vandergrift,,,56,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21021,Beacham,,0,Vandergrift,,,,,,,,,22,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21912,Beacham,,0,Vandergrift,,,,,,,,,,,,,,29,
minoraverages/1950TSN,1949,Middle Atlantic League,,P10266,Beacham,,0,Vandergrift,,,,29,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,M90060,Beck,Walter,,Butler,19490526,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B01032,Bedford,Ralph,0,Uniontown,,,63,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21450,Bedford,,0,Uniontown,,,,,,,,,,,,,45,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B00957,Beran,Joseph,0,Johnstown,,,140,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F21068,Beran,,0,Johnstown,,,,,,,,,140,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B00343,Berns,Raymond,0,Erie,,,132,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F20841,Berns,,0,Erie,,,,,,,,,132,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,B01696,Bertovich,Anthony,0,Youngstown,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,,F22036,Bertovich,,0,Youngstown,,,,,,,,,,,,,,17,
