source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B01181,Ackerman,Harry,0,Centralia,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21045,Ackerman,,0,Centralia,,,,,,,,,,,,,,22,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10062,Ackerman,,0,Centralia,,,,22,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00319,Anthony,Socrates,1,Paducah,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00319,Anthony,Socrates,2,Belleville,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00319,Anthony,Socrates,T,,,,94,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20956,Anthony,,1,Paducah,,,,,,,,,,,,,yes,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20956,Anthony,,2,Belleville,,,,,,,,,,,,,yes,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20956,Anthony,,T,,,,,,,,,,,,,,89,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B01288,Applegate,Fred,0,West Frankfort,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21370,Applegate,,0,West Frankfort,,,,,,,,,,,,,,10,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10019,Applegate,,0,West Frankfort,,,,10,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00912,Arnold,Lindell,0,Mount Vernon,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20855,Arnold,,0,Mount Vernon,,,,,,,,,29,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00566,Asal,William,0,West Frankfort,,,118,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20449,Asal,,0,West Frankfort,,,,,,,,118,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00324,Bekeza,Lewis,0,Centralia,,,100,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20095,Bekeza,,0,Centralia,,,,,48,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20713,Bekeza,,0,Centralia,,,,,,,,,29,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20943,Bekeza,,0,Centralia,,,,,,,,,,,,,29,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21324,Bekeza,,0,Centralia,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,M90018,Bekeza,Lewis,,Centralia,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B01156,Birkeland,Theodore,0,Belleville,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21163,Birkeland,,0,Belleville,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10361,Birkeland,,0,Belleville,,,,21,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00076,Bleyer,William,0,Centralia,,,54,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20583,Bleyer,,0,Centralia,,,,,,,,,54,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00920,Bloxam,Loyal,0,Mount Vernon,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21544,Bloxam,,0,Mount Vernon,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10035,Bloxam,,0,Mount Vernon,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00163,Bracken,Herbert,0,Belleville,,,13,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21084,Bracken,,0,Belleville,,,,,,,,,,,,,,13,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10244,Bracken,,0,Belleville,,,,13,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00130,Breidenbach,Donald,0,Mattoon,,,119,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20430,Bridenbach,,0,Mattoon,,,,,,,,119,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B01135,Callo,Al,0,Belleville,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20211,Callo,,0,Belleville,,,,,,27,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00182,Campbell,Douglas,0,Paducah,,,41,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21293,Campbell,,0,Paducah,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10357,Campbell,,0,Paducah,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,B00783,Cassidy,Ray,0,Mattoon,,,55,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F20648,Cassidy,,0,Mattoon,,,,,,,,,22,,,,,,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,F21491,Cassidy,,0,Mattoon,,,,,,,,,,,,,,27,
minoraverages/1950TSN,1949,Mississippi-Ohio Valley League,,P10304,Cassidy,,0,Mattoon,,,,27,,,,,,,,,,,
