source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Mountain States League,,B00973,Adams,Eugene,0,Big Stone Gap,,,138,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B01300,Aguiar,Jose,0,Newport,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F21021,Aguiar,,0,Newport,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Mountain States League,,P10361,Aguiar,,0,Newport,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00528,Aguilar,Sergio,0,Newport,,,86,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20594,Aguilar,,0,Newport,,,,,,,,,,,,,86,,
minoraverages/1950TSN,1949,Mountain States League,,B00343,Alexy,John,0,Big Stone Gap,,,107,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20080,Alexy,,0,Big Stone Gap,,,,,107,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00232,Anderson,Robert,0,Jenkins,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00590,Anderson,Charles,0,Big Stone Gap,,,122,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20505,Anderson,,0,Big Stone Gap,,,,,,,,,122,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20721,Anderson,,0,Jenkins,,,,,,,,,,,,,,25,
minoraverages/1950TSN,1949,Mountain States League,,P10320,Anderson,,0,Jenkins,,,,25,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00794,Ayers,Charles,0,Big Stone Gap,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F21092,Ayers,,0,Big Stone Gap,,,,,,,,,,,,,,32,
minoraverages/1950TSN,1949,Mountain States League,,P10407,Ayers,,0,Big Stone Gap,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B01250,Badger,Charles,0,Harlan,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00308,Baker,Roy,0,Middlesboro,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00936,Ballard,Eugene,0,Hazard,,,105,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20240,Ballard,,0,Hazard,,,,,,,105,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B01078,Battavio,Anthony,0,Big Stone Gap,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B01197,Baxter,Orville,0,Big Stone Gap,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20807,Baxter,,0,Big Stone Gap,,,,,,,,,,,,,,15,
minoraverages/1950TSN,1949,Mountain States League,,P10228,Baxter,,0,Big Stone Gap,,,,15,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00381,Benintendi,Robert,0,Big Stone Gap,,,118,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20474,Benintendi,,0,Big Stone Gap,,,,,,,,,118,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00718,Bertram,Samuel,0,Newport,,,107,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F20375,Bertram,,0,Newport,,,,,,,,,107,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B01203,Bise,Darrell,0,Pennington,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F21163,Bise,,0,Pennington,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Mountain States League,,P10550,Bise,,0,Pennington,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B01658,Boelling,Forrest,0,Hazard,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,F21149,Boelling,,0,Hazard,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Mountain States League,,P10527,Boelling,,0,Hazard,,,,15,,,,,,,,,,,
minoraverages/1950TSN,1949,Mountain States League,,B00092,Bosch,Ortelio,0,Middlesboro,,,52,,,,,,,,,,,,
