source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Hamilton,1949,North Atlantic League,,B00718,Albertson,Frank,0,Mahanoy City,,,3,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21865,Allabaugh,,0,Stroudsburg,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,North Atlantic League,,P10184,Allabaugh,,0,Stroudsburg,,,,21,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B01197,Allabaugh,Walter,0,Stroudsburg,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00013,Allen,Ralph,0,Nazareth,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21747,Allen,,0,Nazareth,,,,,,,,,,,,,,25,
minoraverages/1950TSN,1949,North Atlantic League,,P10441,Allen,,0,Nazareth,,,,25,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00021,Ambrose,John,0,Mahanoy City,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00037,Ambrose,Philip,0,Bangor-Berwick,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00045,Ambrose,Thomas,0,Mahanoy City,,,135,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20254,Ambrose,T.,0,Mahanoy City,,,,,,135,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20583,Ambrose,P.,0,Bangor-Berwick,,,,,,,,133,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21469,Ambrose,J.,0,Mahanoy City,,,,,,,,,,,,,,24,
minoraverages/1950TSN,1949,North Atlantic League,,P10159,Ambrose,J.,0,Mahanoy City,,,,24,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00013,Ambrose,Joseph,0,Bangor-Berwick,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10019,Ambrose,T.,0,Bangor-Berwick,,,,1,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00059,Andrews,George,0,Carbondale,,,138,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00068,Andrews,John,0,Nazareth,,,134,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20449,Andrews,,0,Carbondale,,,,,,,79,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20571,Andrews,,0,Carbondale,,,,,,,,60,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20810,Andrews,,0,Nazareth,,,,,,,,,133,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00076,Baker,Clarence,0,Nazareth,,,80,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00084,Baker,Paul,0,Hazleton,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20636,Baker,,0,Nazareth,,,,,,,,79,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,P10478,Baker,,0,Hazleton,,,,7,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00021,Banks,George,0,Bangor-Berwick,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10024,Banks,,0,Bangor-Berwick,,,,1,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00101,Barr,Edward,0,Stroudsburg,,,29,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20287,Barr,,0,Stroudsburg,,,,,,27,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00117,Baselici,Alphonse,0,Lebanon,,,138,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20829,Baselici,,0,Lebanon,,,,,,,,,136,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00566,Becker,William,0,Lebanon,,,4,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10035,Becker,,0,Lebanon,,,,4,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21589,Benson,,0,Lebanon,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,North Atlantic League,,P10289,Benson,,0,Lebanon,,,,16,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00577,Benson,Paul,0,Lebanon,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00092,Bernhart,Bruce,1,Carbondale,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00092,Bernhart,Bruce,2,Bangor-Berwick,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00092,Bernhart,Bruce,T,,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21667,Bernhart,,1,Carbondale,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,North Atlantic League,,F21667,Bernhart,,2,Bangor-Berwick,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,North Atlantic League,,F21667,Bernhart,,T,,,,,,,,,,,,,,,25,
minoraverages/1950TSN,1949,North Atlantic League,,P10550,Bernhart,,1,Carbondale,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,P10550,Bernhart,,2,Bangor-Berwick,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,P10550,Bernhart,,T,,,,,25,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00125,Billett,Paul,0,Lebanon,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21973,Billett,,0,Lebanon,,,,,,,,,,,,,,22,
minoraverages/1950TSN,1949,North Atlantic League,,P10056,Billett,,0,Lebanon,,,,22,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00370,Bio,Frank,0,Hazleton,,,7,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00130,Bittner,Donald,0,Peekskill,,,61,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21084,Bittner,,0,Peekskill,,,,,,,,,32,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21718,Bittner,,0,Peekskill,,,,,,,,,,,,,,26,
minoraverages/1950TSN,1949,North Atlantic League,,P10464,Bittner,,0,Peekskill,,,,26,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00149,Bjornberg,Philip,0,Hazleton,,,55,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21174,Bjornberg,,0,Hazleton,,,,,,,,,53,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10043,Bjornberg,,0,Hazleton,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00381,Bobchak,John,0,Hazleton,,,5,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00158,Boyer,Kent,0,Lebanon,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F22127,Boyer,,0,Lebanon,,,,,,,,,,,,,,12,
minoraverages/1950TSN,1949,North Atlantic League,,P10176,Boyer,,0,Lebanon,,,,12,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B01203,Bradley,Eugene,0,Stroudsburg,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00865,Braun,Phillip,0,Nazareth,,,5,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00879,Braun,James,0,Nazareth,,,7,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10056,Braun,,0,Nazareth,,,,5,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00163,Breslin,Joseph,0,Mahanoy City,,,129,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20855,Breslin,,0,Mahanoy City,,,,,,,,,129,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00174,Brielmaier,Frank,0,Lebanon,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20391,Brielmaier,,0,Lebanon,,,,,,,132,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00182,Brock,Leon,0,Hazleton,,,86,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21381,Brock,,0,Hazleton,,,,,,,,,,,,,76,,
minoraverages/Hamilton,1949,North Atlantic League,,B00726,Brock,Henry,0,Mahanoy City,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00037,Brong,Robert,0,Bangor-Berwick,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10062,Brong,,0,Bangor-Berwick,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10070,Brown,,0,Nazareth,,,,6,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00196,Browne,Prentiss,0,Peekskill,,,133,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F20153,Browne,,0,Peekskill,,,,,37,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F21021,Browne,,0,Peekskill,,,,,,,,,123,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00045,Brunn,Herman,0,Bangor-Berwick,,,6,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00739,Bruno,John,0,Mahanoy City,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B01029,Bruno,Frank,0,Peekskill,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00887,Bryant,Richard,0,Nazareth,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,P10081,Bryant,,0,Nazareth,,,,1,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,F22073,Burnett,,0,Hazleton,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,North Atlantic League,,P10019,Burnett,,0,Hazleton,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1949,North Atlantic League,,B00397,Burnett,Eugene,0,Hazleton,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Atlantic League,,B00207,Burt,Roland,0,Mahanoy City,,,30,,,,,,,,,,,,
