source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,North Carolina State League,,B01674,Abernathy,Harold,0,Concord,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F21695,Abernathy,,0,Concord,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,North Carolina State League,,P10097,Abernathy,,0,Concord,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01291,Adams,William,0,Statesville,,,61,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20648,Adams,,0,Statesville,,,,,,,,59,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01630,Adkins,Kenneth,0,Landis,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20298,Adkins,,0,Landis,,,,,,12,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01551,Alex,Theodore,0,High Point-Thomasville,,,12,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F21865,Alex,,0,High Point-Thomasville,,,,,,,,,,,,,,10,
minoraverages/1950TSN,1949,North Carolina State League,,B01489,Anderson,Richard,0,Concord,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01754,Anderson,Raymond,0,Lexington,,,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F21783,Anderson,,0,Lexington,,,,,,,,,,,,,,33,
minoraverages/1950TSN,1949,North Carolina State League,,P10486,Anderson,,0,Lexington,,,,33,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01321,Barclay,Donald,0,Concord,,,35,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20943,Barclay,,0,Concord,,,,,,,,,35,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B00362,Barker,Robert,0,Mooresville,,,67,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20661,Barker,,0,Mooresville,,,,,,,,67,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B00705,Barnes,Luther,0,Lexington,,,125,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20496,Barnes,,0,Lexington,,,,,,,17,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20924,Barnes,,0,Lexington,,,,,,,,,106,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B00241,Barrett,William,0,Landis,,,108,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20072,Barrett,,0,Landis,,,,,77,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20737,Barrett,,0,Landis,,,,,,,,25,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B00381,Bartholomew,John,0,Salisbury,,,13,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20327,Bartholomew,,0,Salisbury,,,,,,13,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01663,Barton,Frederick,0,Salisbury,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F21718,Barton,,0,Salisbury,,,,,,,,,,,,,,18,
minoraverages/1950TSN,1949,North Carolina State League,,P10542,Barton,,0,Salisbury,,,,18,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B00999,Batdorf,Frederick,0,Lexington,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20463,Batdorf,,0,Lexington,,,,,,,11,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B01086,Beauchamp,Walter,0,High Point-Thomasville,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,F20539,Beauchamp,,0,High Point-Thomasville,,,,,,,15,,,,,,,,
minoraverages/1950TSN,1949,North Carolina State League,,B00726,Beck,Charles,1,Statesville,,,64,,,,,,,,,,,,
