source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Northern League,adkisson,B00811,Adkisson,Sam E.,0,Grand Forks,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,adkisson,F21469,Adkisson,,0,Grand Forks,,,,,,,,,,,,,,10,
minoraverages/1950TSN,1949,Northern League,adkisson,P10767,Adkisson,Sam E.,0,Grand Forks,,,,10,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,adkisson,P10184,Adkisson,Sam E.,0,Grand Forks,,,,10,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,afremow,B00589,Afremow,Buddy,0,Superior,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,ahlstrom,B00059,Ahlstrom,Robert,0,Duluth,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,ahlstrom,P10591,Ahlstrom,Robert,0,Duluth,,,,2,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,allen,B01055,Allen,John H.,0,Eau Claire,,,19,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,allen,F21207,Allen,,0,Eau Claire,,,,,,,,,,,,,19,,
minoraverages/1950TSN,1949,Northern League,anderson.hen,B01359,Anderson,Henry B.,0,Grand Forks,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,anderson.hen,F21502,Anderson,,0,Grand Forks,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Northern League,anderson.hen,P10871,Anderson,Henry B.,0,Grand Forks,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,anderson.har,B00381,Anderson,Harold C.,0,Grand Forks,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,anderson.ric,B00590,Anderson,Richard,0,Superior,,,,,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,anderson.hen,P10290,Anderson,Henry B.,0,Grand Forks,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,anderson.har,P10534,Anderson,Harold C.,0,Grand Forks,,,,4,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,arbucho,B00794,Arbucho,James,0,St. Cloud,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,arbucho,F21948,Arbucho,,0,St. Cloud,,,,,,,,,,,,,,24,
minoraverages/1950TSN,1949,Northern League,arbucho,P10137,Arbucho,,0,St. Cloud,,,,24,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,arend,B00544,Arend,James,0,Grand Forks,,,126,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,arend,F20547,Arend,,0,Grand Forks,,,,,,,,125,,,,,,,
minoraverages/1950TSN,1949,Northern League,banicki,B00973,Banicki,Joseph,0,Sioux Falls,,,13,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,banicki,P10925,Banicki,Joseph,0,Sioux Falls,,,,5,,,,,,,,,,,
minoraverages/Hamilton,1949,Northern League,banicki,P10348,Banicki,Joseph,0,Sioux Falls,,,,5,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,bass,B00324,Bass,Earl,0,Eau Claire,,,84,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,bass,F20776,Bass,,0,Eau Claire,,,,,,,,,83,,,,,,
minoraverages/1950TSN,1949,Northern League,battaglia,B01313,Battaglia,John,0,St. Cloud,,,39,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,battaglia,F20153,Battaglia,,0,St. Cloud,,,,,,26,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,battaglia,F20496,Battaglia,,0,St. Cloud,,,,,,,,13,,,,,,,
minoraverages/1950TSN,1949,Northern League,baud,B00068,Baud,Andrew,0,Superior,,,80,,,,,,,,,,,,
minoraverages/1950TSN,1949,Northern League,baud,F20375,Baud,,0,Superior,,,,,,,12,,,,,,,,
minoraverages/1950TSN,1949,Northern League,baud,F20810,Baud,,0,Superior,,,,,,,,,67,,,,,,
minoraverages/Hamilton,1949,Northern League,baxter,B00068,Baxter,Robert J.,0,Duluth,,,,,,,,,,,,,,,
