source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1958TSN,1957,Appalachian League,,B00013,Adams,Robert,0,Kingsport,,,67,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20190,Adams,,0,Kingsport,,,,,,23,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20375,Adams,,0,Kingsport,,,,,,,40,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01899,Alley,Henry,0,Wytheville,,,8,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10917,Alley,,0,Wytheville,,,,7,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01812,Arnold,Chris,0,Salem,,,2,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00021,Barndollar,Thomas,0,Salem,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F21531,Barndollar,,0,Salem,,,,,,,,,,,,,,12,
minoraverages/1958TSN,1957,Appalachian League,,P10852,Barndollar,,0,Salem,,,,12,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00037,Basarich,John,0,Kingsport,,,11,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01415,Beavers,Robert,0,Bluefield,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01428,Bene,Jay,0,Bluefield,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10527,Bene,,0,Bluefield,,,,3,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00045,Bergey,Francis,0,Bluefield,,,53,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20265,Bergey,,0,Bluefield,,,,,,11,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20350,Bergey,,0,Bluefield,,,,,,,16,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20547,Bergey,,0,Bluefield,,,,,,,,12,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10534,Bergey,,0,Bluefield,,,,4,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00059,Boone,Ronald,0,Bluefield,,,39,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20908,Boone,,0,Bluefield,,,,,,,,,,,,,37,,
minoraverages/1958TSN,1957,Appalachian League,,B01905,Borowsky,Dennis,0,Wytheville,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,M90060,Bottomley,James,,Pulaski,19570626,,,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01918,Bottorff,Roger,0,Wytheville,,,5,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10925,Bottorff,,0,Wytheville,,,,5,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,M90018,Bragan,James,,Bluefield,,,,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00068,Bramscom,H. C.,0,Pulaski,,,13,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F21397,Bramscom,,0,Pulaski,,,,,,,,,,,,,,13,
minoraverages/1958TSN,1957,Appalachian League,,P10767,Bramscom,,0,Pulaski,,,,13,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00076,Brunello,Fidenzio,0,Pulaski,,,35,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20792,Brunello,,0,Pulaski,,,,,,,,,22,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00084,Bryant,Kenneth,0,Wytheville,,,66,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20177,Bryant,,0,Wytheville,,,,,,37,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20327,Bryant,,0,Wytheville,,,,,,,14,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20526,Bryant,,0,Wytheville,,,,,,,,16,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01820,Buccolo,Dave,0,Salem,,,9,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00092,Burnham,Alonzo,0,Bluefield,,,15,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20943,Burnham,,0,Bluefield,,,,,,,,,,,,,14,,
minoraverages/1958TSN,1957,Appalachian League,,B00101,Burt,James,0,Kingsport,,,11,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20014,Burt,,0,Kingsport,,,,,11,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01431,Caison,George,0,Bluefield,,,5,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01444,Capullo,Robert,0,Bluefield,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10542,Capullo,,0,Bluefield,,,,3,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00117,Carden,Alfred,0,Kingsport,,,19,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F21488,Carden,,0,Kingsport,,,,,,,,,,,,,,18,
minoraverages/1958TSN,1957,Appalachian League,,P10019,Carden,,0,Kingsport,,,,18,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00125,Carter,Gabriel,0,Salem,,,29,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20023,Carter,,0,Salem,,,,,16,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01926,Chain,Bela,0,Wytheville,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00130,Chait,Frederick,0,Kingsport,,,58,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20254,Chait,,0,Kingsport,,,,,,21,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20552,Chait,,0,Kingsport,,,,,,,,20,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20571,Chait,,0,Kingsport,,,,,,,,,11,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01453,Chierichella,Carmine,0,Bluefield,,,2,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10550,Chierichella,,0,Bluefield,,,,2,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01466,Christenson,Gerald,0,Bluefield,,,4,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10569,Christenson,,0,Bluefield,,,,4,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00149,Clark,Kenneth,0,Wytheville,,,68,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20886,Clark,,0,Wytheville,,,,,,,,,60,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00158,Clendenon,Donald,0,Salem,,,46,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20095,Clendenon,,0,Salem,,,,,32,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10860,Clendenon,,0,Salem,,,,2,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01477,Cobb,Joseph,0,Bluefield,,,1,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00163,Cockrell,P. Andrew,0,Salem,,,66,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20388,Cockrell,,0,Salem,,,,,,,35,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20864,Cockrell,,0,Salem,,,,,,,,,29,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,P10871,Cockrell,,0,Salem,,,,1,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B01836,Council,Emerson,0,Salem,,,1,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00174,Creekmore,James,0,Salem,,,39,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F20391,Creekmore,,0,Salem,,,,,,,32,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,B00182,Cromwell,Richard,0,Wytheville,,,13,,,,,,,,,,,,
minoraverages/1958TSN,1957,Appalachian League,,F21553,Cromwell,,0,Wytheville,,,,,,,,,,,,,,13,
minoraverages/1958TSN,1957,Appalachian League,,P10024,Cromwell,,0,Wytheville,,,,13,,,,,,,,,,,
