source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1958TSN,1957,Midwest League,,B00013,Abraham,Paul,0,Kokomo,,,117,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20177,Abraham,,0,Kokomo,,,,,,117,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,M90026,Ackerman,Carl,,Kokomo,19570508,19570513,,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,M90047,Ackerman,Carl,,Kokomo,19570523,19570530,,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00021,Aguillard,Raymond,0,Paris,,,18,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21117,Aguillard,,0,Paris,,,,,,,,,18,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00037,Alomar,Rafael,0,Clinton,,,16,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21163,Alomar,,0,Clinton,,,,,,,,,16,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00045,Alou,Mateo,0,Michigan City,,,124,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20792,Alou,,0,Michigan City,,,,,,,,,124,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00059,Andress,Phillip,0,Clinton,,,15,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21488,Andress,,0,Clinton,,,,,,,,,,,,,,15,
minoraverages/1958TSN,1957,Midwest League,,P10019,Andress,,0,,,,,15,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00068,Ashdown,Ronald,0,Paris,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21210,Ashdown,,0,Paris,,,,,,,,,12,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00076,Avitable,Anthony,0,Mattoon,,,13,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F22036,Avitable,,0,Mattoon,,,,,,,,,,,,,,11,
minoraverages/1958TSN,1957,Midwest League,,P10024,Avitable,,0,,,,,11,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00084,Bailey,Forrest,0,Clinton,,,11,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00092,Bailey,Kenneth,0,Lafayette,,,33,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21638,Bailey,,0,Lafayette,,,,,,,,,,,,,,30,
minoraverages/1958TSN,1957,Midwest League,,F21999,Bailey,,0,Clinton,,,,,,,,,,,,,,11,
minoraverages/1958TSN,1957,Midwest League,,P10035,Bailey,,0,,,,,30,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10805,Bailey,,0,,,,,11,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00101,Banks,James,0,Mattoon,,,30,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21840,Banks,,0,Mattoon,,,,,,,,,,,,,,12,
minoraverages/1958TSN,1957,Midwest League,,P10043,Banks,,0,,,,,12,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B01971,Barron,Norman,0,Clinton,,,4,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10818,Barron,,0,,,,,4,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02113,Bartek,John,0,Decatur,,,8,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10056,Bartek,,0,,,,,8,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02714,Baurnfeind,William,0,Mattoon,,,6,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P11316,Baurnfeind,,0,,,,,6,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02253,Baxter,William,0,Dubuque,,,8,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10062,Baxter,,0,,,,,8,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00117,Bazinet,Richard,0,Decatur,,,126,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20784,Bazinet,,0,Decatur,,,,,,,,,126,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10826,Beamon,,0,,,,,4,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B01983,Bemanon,George,0,Clinton,,,4,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02266,Bennett,Charles,0,Dubuque,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00125,Bergey,Francis,0,Kokomo,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00130,Bernhardt,Virgil,0,Mattoon,,,102,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21158,Bernhardt,,0,Mattoon,,,,,,,,,16,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21324,Bernhardt,,0,Mattoon,,,,,,,,,,,,,75,,
minoraverages/1958TSN,1957,Midwest League,,B00149,Berry,Charles,0,Clinton,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F22004,Berry,,0,Clinton,,,,,,,,,,,,,,12,
minoraverages/1958TSN,1957,Midwest League,,P10070,Berry,,0,,,,,12,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02534,Bertram,Donald,0,Lafayette,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00158,Bethea,Richard,0,Clinton,,,60,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20776,Bethea,,0,Clinton,,,,,,,,,59,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00163,Birsa,Ben,0,Dubuque,,,22,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F22127,Birsa,,0,Dubuque,,,,,,,,,,,,,,22,
minoraverages/1958TSN,1957,Midwest League,,P10081,Birsa,,0,,,,,22,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00174,Blattner,John,0,Lafayette,,,14,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20878,Blattner,,0,Lafayette,,,,,,,,,14,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00182,Bloomfield,Clyde,0,Decatur,,,128,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20583,Bloomfield,,0,Decatur,,,,,,,,128,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00196,Bolin,Robert,0,Michigan City,,,28,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21811,Bolin,,0,Michigan City,,,,,,,,,,,,,,28,
minoraverages/1958TSN,1957,Midwest League,,P10097,Bolin,,0,,,,,28,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02121,Boner,William,0,Decatur,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02385,Boone,Ronald,0,Kokomo,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00207,Bracey,Kenneth,0,Michigan City,,,37,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21442,Bracey,,0,Michigan City,,,,,,,,,,,,,,37,
minoraverages/1958TSN,1957,Midwest League,,P10100,Bracey,,0,,,,,37,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00210,Brice,Alan,0,Dubuque,,,15,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21705,Brice,,0,Dubuque,,,,,,,,,,,,,,15,
minoraverages/1958TSN,1957,Midwest League,,P10113,Brice,,0,,,,,15,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00229,Briggs,Aaron,0,Paris,,,85,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21335,Briggs,,0,Paris,,,,,,,,,,,,,63,,
minoraverages/1958TSN,1957,Midwest League,,B01994,Broughton,Lawrence,0,Clinton,,,6,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10839,Broughton,,0,,,,,5,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00232,Brown,Phillip,0,Dubuque,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02008,Brown,Henry,0,Clinton,,,8,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02542,Brown,Peter,0,Lafayette,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21973,Brown,,0,Dubuque,,,,,,,,,,,,,,12,
minoraverages/1958TSN,1957,Midwest League,,P10121,Brown,H.,0,,,,,8,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10137,Brown,P.,0,,,,,12,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P11177,Brown,,0,,,,,3,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00241,Brumley,Anthony,0,Kokomo,,,71,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21255,Brumley,,0,Kokomo,,,,,,,,,,,,,58,,
minoraverages/1958TSN,1957,Midwest League,,P11014,Brumley,,0,,,,,1,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00255,Butcher,Ronald,0,Dubuque,,,70,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21356,Butcher,,0,Dubuque,,,,,,,,,,,,,66,,
minoraverages/1958TSN,1957,Midwest League,,B02723,Cacciarelli,Robert,0,Mattoon,,,9,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P11327,Cacciarelli,,0,,,,,4,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00264,Carlson,Gordon,0,Mattoon,,,11,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02019,Carter,Gabriel,0,Clinton,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00278,Castiglione,Joseph,0,Lafayette,,,53,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21293,Castiglione,,0,Lafayette,,,,,,,,,,,,,34,,
minoraverages/1958TSN,1957,Midwest League,,B02399,Chierichella,Carmine,0,Kokomo,,,8,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P11023,Chierichella,,0,,,,,8,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00286,Christenson,Gerald,0,Kokomo,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21854,Christenson,,0,Kokomo,,,,,,,,,,,,,,11,
minoraverages/1958TSN,1957,Midwest League,,P11038,Christenson,,0,,,,,11,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00293,Christopher,Anthony,0,Paris,,,35,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20298,Christopher,,0,Paris,,,,,,11,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20620,Christopher,,0,Paris,,,,,,,,19,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02137,Clark,Kenneth,0,Decatur,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02277,Clark,Harold,0,Dubuque,,,8,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10145,Clark,,0,,,,,8,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02550,Clift,Harlond Jr.,0,Lafayette,,,2,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02407,Clifton,Ralph,0,Kokomo,,,5,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P11046,Clifton,,0,,,,,3,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00308,Cohen,Jack,0,Kokomo,,,39,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21726,Cohen,,0,Kokomo,,,,,,,,,,,,,,37,
minoraverages/1958TSN,1957,Midwest League,,P10159,Cohen,,0,,,,,37,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00319,Coley,Ewart J.,0,Paris,,,18,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F22057,Coley,,0,Paris,,,,,,,,,,,,,,13,
minoraverages/1958TSN,1957,Midwest League,,P11449,Coley,,0,,,,,13,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F22020,Columba,,0,Paris,,,,,,,,,,,,,,37,
minoraverages/1958TSN,1957,Midwest League,,B00324,Columbia,David,0,Paris,,,55,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20279,Columbia,,0,Paris,,,,,,12,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P10168,Columbia,,0,,,,,37,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00335,Condron,Ronald,0,Michigan City,,,69,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20924,Condron,,0,Michigan City,,,,,,,,,62,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00343,Conrad,George,0,Clinton,,,38,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00356,Conrad,James,0,Dubuque,,,27,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20807,Conrad,,0,Clinton,,,,,,,,,34,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21544,Conrad,,0,Dubuque,,,,,,,,,,,,,,27,
minoraverages/1958TSN,1957,Midwest League,,P10176,Conrad,,0,,,,,27,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B02569,Coughtry,Wayne,0,Lafayette,,,7,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,P11189,Coughtry,,0,,,,,7,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00362,Cox,Clyde,1,Mattoon,,,23,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00362,Cox,Clyde,2,Kokomo,,,33,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00362,Cox,Clyde,T,,,,56,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20128,Cox,,1,Mattoon,,,,,yes,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20128,Cox,,2,Kokomo,,,,,yes,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F20128,Cox,,T,,,,,,15,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21130,Cox,,1,Mattoon,,,,,,,,,yes,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21130,Cox,,2,Kokomo,,,,,,,,,yes,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21130,Cox,,T,,,,,,,,,,41,,,,,,
minoraverages/1958TSN,1957,Midwest League,,B00370,Craffey,Joseph,0,Michigan City,,,39,,,,,,,,,,,,
minoraverages/1958TSN,1957,Midwest League,,F21264,Craffey,,0,Michigan City,,,,,,,,,,,,,26,,
