ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1916-AA:acosta,cw:b4c12011,acosm101,acosta001bal,Acosta,Merito,Baldomero Pedro,18960519
1916-AA:adams,cw:ce924a73,adamk101,adams-001kar,Adams,Karl,Karl Tutwiler,18910811
1916-AA:aitchison,cw:76434474,aitcr101,aitchi001ral,Aitchison,Raleigh,Raleigh Leonidas,18871205
1916-AA:aldridge,cw:11d3ed8e,aldrv101,aldrid001vic,Aldridge,Vic,Victor,18931025
1916-AA:altizer,cw:f0837d14,altid101,altize001dav,Altizer,Dave,David Tilden,18761106
1916-AA:bailey-col,cw:68ba9133,,bailey038---,Bailey,,,
1916-AA:bailey-tol,cw:17f61317,bailb101,bailey003wil,Bailey,Bill,William F.,18880412
1916-AA:barney,cw:c4f4df94,barne104,barney001edm,Barney,Ed,Edmund J.,18900123
1916-AA:beall-mil,cw:932d7445,bealj101,beall-001joh,Beall,Johnny,John Woolf,18820312
1916-AA:beall-tol,cw:b588156c,,beall-001geo,Beall,George,George,
1916-AA:beck,cw:5158ff90,beckf101,beck--002fre,Beck,Fred,Frederick Thomas,18861117
1916-AA:becker,cw:2874692a,beckb101,becker001dav,Becker,Beals,David Beals,18860705
1916-AA:bedient,cw:af3f564f,bedih101,bedien001hug,Bedient,Hugh,Hugh Carpenter,18891023
1916-AA:benson,cw:33b4289e,,benson001elm,Bensen,Elmer,Elmer Martin,18840911
1916-AA:bentley,cw:2b01a44a,bentj101,bentle001joh,Bentley,Jack,John Needles,18950308
1916-AA:benton,cw:57aabf48,,benton001har,Benton,Harry,Harry F.,
1916-AA:berghammer,cw:e3354447,bergm101,bergha001mar,Berghammer,Marty,Martin Andrew,18880618
1916-AA:berry,cw:65b080d0,berrc101,berry-001cla,Berry,Claude,Claude Elzy,18800214
1916-AA:billings,cw:f0f9ffb8,billj103,billin003joh,Billings,Josh,John Augustus,18911130
1916-AA:block,cw:f4854fff,,block-001geo,Block,George,George,18871106
1916-AA:blodgett,cw:27203601,,blodge001tho,Blodgett,Thomas,Thomas Sherman,18900701
1916-AA:bluejacket,cw:073c9f7f,bluej101,blueja001jam,Bluejacket,Jim,James,18870708
1916-AA:boardman,cw:2b49323a,,boardm005---,Boardman,,,
1916-AA:bowman,cw:2e30a0a7,bowma101,bowman001alv,Bowman,Abe,Alvah Edson,18930125
1916-AA:bradley,cw:41058aa8,bradh101,bradle001hug,Bradley,Hugh,Hugh Frederick,18850523
1916-AA:brady,cw:004a21d5,bradn101,brady-001cor,Brady,Neal,Cornelius Joseph,18970304
1916-AA:bratchi,cw:65603708,bratf101,bratsc001fre,Bratschi,Fred,Frederick Oscar,18920116
1916-AA:bresnahan,cw:90202b76,bresr102,bresna001rog,Bresnahan,Roger,Roger Philip,18790611
1916-AA:bronkie,cw:254b0689,bronh101,bronki001her,Bronkie,Herman,Herman Charles,18850330
1916-AA:bruck,cw:1640307f,,bruck-001fre,Bruck,Fred,Fred H.,18900421
1916-AA:bues,cw:c985c881,buesa101,bues--001art,Bues,Art,Arthur Frederick,18880303
1916-AA:burk,cw:49c260c3,burks101,burk--001cha,Burk,Sandy,Charles Sanford,18870422
1916-AA:carter,cw:c2f903df,,carter032---,Carter,,,
1916-AA:cashion,cw:9c3c84be,cashc101,cashio001jay,Cashion,Carl,Jay Carl,18890604
1916-AA:chappelle,cw:9d958cd9,chapl101,chappe001lav,Chappell,Larry,LaVerne Ashford,18900219
1916-AA:clark,cw:252b2c09,clarp102,clark-004har,Clark,Pep,Harry,18830320
1916-AA:clemons,cw:ff9a0a09,clemv101,clemon001ver,Clemons,Verne,Verne James,18910908
1916-AA:cocreham,cw:e5d4ee8d,cocrg101,cocreh001eug,Cocreham,Gene,Eugene,18841114
1916-AA:coffey,cw:b0d6412c,,coffey003---,Coffey,,,
1916-AA:cole,cw:5cc44834,colew101,cole--006wil,Cole,Willis,Willis Russell,18820106
1916-AA:coleman,cw:0ebe7f0f,coleb102,colema003rob,Coleman,Bob,Robert Hunter,18900926
1916-AA:collamore,cw:17eab8a9,colla101,collam001all,Collamore,Allan,Allan Edward,18870605
1916-AA:compton,cw:f6ba10e4,compp101,compto001ann,Compton,Pete,Anna Sebastian,18890928
1916-AA:comstock,cw:26819e08,comsr101,comsto001ral,Comstock,Ralph,Ralph Remick,18901124
1916-AA:corriden,cw:c75b15a6,corrr101,corrid001joh,Corriden,Red,John Michael,18870904
1916-AA:crandall,cw:85d91db4,,cranda002kar,Crandall,Karl,Karl Everett,18890330
1916-AA:critchlow,cw:f1ac7a7e,,critch001---,Critchlow,,,
1916-AA:cruise,cw:8fc9999e,cruiw101,cruise001wal,Cruise,Walton,Walton Edwin,18900506
1916-AA:crutcher,cw:53d37e4c,crutd101,crutch001ric,Crutcher,Dick,Richard Luther,18891125
1916-AA:curtis,cw:d2f9555c,curtc101,curtis001cli,Curtis,Cliff,Clifton Garfield,18810703
1916-AA:dale,cw:69ceccb1,daleg101,dale--001emm,Dale,Gene,Emmett Eugene,18890616
1916-AA:daniels,cw:8353bd4f,danib101,daniel001ben,Daniels,Bert,Bernard Elmer,18821031
1916-AA:davis,cw:abe31881,david102,davis-003fra,Davis,Dixie,Frank Talmadge,18901012
1916-AA:dawson,cw:e6f7fb55,dawsr101,dawson001rex,Dawson,Rex,Rexford Paul,18880210
