league.key,league.year,league.name.full,league.name.short
1919-AA,1919,American Association,American Association
1919-AL,1919,American League,American
1919-CAWL,1919,California Winter League,California Winter
1919-COL,1919,Collegiate Teams,Collegiate
1919-CSTL,1919,Cotton States League,Cotton States
1919-CUBL,1919,Cuban League,Cuban
1919-CUWL,1919,Cuban Winter League,Cuban Winter
1919-EL,1919,Eastern League,Eastern
1919-FLOR,1919,Florida State League,Florida State
1919-IIIL,1919,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1919-IL,1919,International League,International
1919-INDN,1919,Independent Negro,Independent Negro
1919-MION,1919,Michigan-Ontario League,Michigan-Ontario
1919-NENL,1919,New England League,New England
1919-NL,1919,National League,National
1919-NWIL,1919,Northwest International League,Northwest International
1919-PCL,1919,Pacific Coast League,Pacific Coast
1919-SALL,1919,South Atlantic League,South Atlantic
1919-SOUA,1919,Southern Association,Southern Association
1919-TL,1919,Texas League,Texas
1919-VIRL,1919,Virginia League,Virginia
1919-WCAN,1919,Western Canada League,Western Canada
1919-WL,1919,Western League,Western
