league.year,league.name,entry.name,team.key
1871,National Association,Boston,BS1
1871,National Association,Chicago,CH1
1871,National Association,Cleveland,CL1
1871,National Association,Fort Wayne,FW1
1871,National Association,New York,NY2
1871,National Association,Philadelphia,PH1
1871,National Association,Rockford,RC1
1871,National Association,Troy,TRO
1871,National Association,Washington,WS3
1872,National Association,Baltimore,BL1
1872,National Association,Boston,BS1
1872,National Association,Brooklyn Atlantics,BR2
1872,National Association,Brooklyn Eckfords,BR1
1872,National Association,Cleveland,CL1
1872,National Association,Middletown,MID
1872,National Association,New York,NY2
1872,National Association,Philadelphia,PH1
1872,National Association,Troy,TRO
1872,National Association,Washington Nationals,WS4
1872,National Association,Washington Olympics,WS3
1873,National Association,Baltimore Canaries,BL1
1873,National Association,Baltimore Marylands,BL4
1873,National Association,Boston,BS1
1873,National Association,Brooklyn,BR2
1873,National Association,Elizabeth,ELI
1873,National Association,New York,NY2
1873,National Association,Philadelphia Athletics,PH1
1873,National Association,Philadelphia Whites,PH2
1873,National Association,Washington,WS5
1874,National Association,Baltimore,BL1
1874,National Association,Boston,BS1
1874,National Association,Brooklyn,BR2
1874,National Association,Chicago,CH2
1874,National Association,Hartford,HR1
1874,National Association,New York,NY2
1874,National Association,Philadelphia Athletics,PH1
1874,National Association,Philadelphia Whites,PH2
1875,National Association,Boston,BS1
1875,National Association,Brooklyn,BR2
1875,National Association,Chicago,CH2
1875,National Association,Hartford,HR1
1875,National Association,Keokuk,KEO
1875,National Association,New Haven,NH1
1875,National Association,New York,NY2
1875,National Association,Philadelphia Athletics,PH1
1875,National Association,Philadelphia Centennials,PH3
1875,National Association,Philadelphia Whites,PH2
1875,National Association,St. Louis Brown Stockings,SL2
1875,National Association,St. Louis Red Stockings,SL1
1875,National Association,Washington,WS6
1876,National League,Boston,BSN
1876,National League,Chicago,CHN
1876,National League,Cincinnati,CN1
1876,National League,Hartford,HAR
1876,National League,Louisville,LS1
1876,National League,New York,NY3
1876,National League,Philadelphia,PHN
1876,National League,St. Louis,SL3
1877,National League,Boston,BSN
1877,National League,Chicago,CHN
1877,National League,Cincinnati,CN1
1877,National League,Hartford,HAR
1877,National League,Louisville,LS1
1877,National League,St. Louis,SL3
1878,National League,Boston,BSN
1878,National League,Chicago,CHN
1878,National League,Cincinnati,CN1
1878,National League,Indianapolis,IN1
1878,National League,Milwaukee,ML2
1878,National League,Providence,PRO
1879,National League,Boston,BSN
1879,National League,Buffalo,BFN
1879,National League,Chicago,CHN
1879,National League,Cincinnati,CN1
1879,National League,Cleveland,CL2
1879,National League,Providence,PRO
1879,National League,Syracuse,SR1
1879,National League,Troy,TRN
1880,National League,Boston,BSN
1880,National League,Buffalo,BFN
1880,National League,Chicago,CHN
1880,National League,Cincinnati,CN1
1880,National League,Cleveland,CL2
1880,National League,Providence,PRO
1880,National League,Troy,TRN
1880,National League,Worcester,WOR
1881,National League,Boston,BSN
1881,National League,Buffalo,BFN
1881,National League,Chicago,CHN
1881,National League,Cleveland,CL2
1881,National League,Detroit,DTN
1881,National League,Providence,PRO
1881,National League,Troy,TRN
1881,National League,Worcester,WOR
1882,American Association,Baltimore,BL2
1882,American Association,Cincinnati,CN2
1882,American Association,Louisville,LS2
1882,American Association,Philadelphia,PH4
1882,American Association,Pittsburgh,PT1
1882,American Association,St. Louis,SL4
1882,National League,Boston,BSN
1882,National League,Buffalo,BFN
1882,National League,Chicago,CHN
1882,National League,Cleveland,CL2
1882,National League,Detroit,DTN
1882,National League,Providence,PRO
1882,National League,Troy,TRN
1882,National League,Worcester,WOR
1883,American Association,Baltimore,BL2
1883,American Association,Cincinnati,CN2
1883,American Association,Columbus,CL5
1883,American Association,Louisville,LS2
1883,American Association,New York,NY4
1883,American Association,Philadelphia,PH4
1883,American Association,Pittsburgh,PT1
1883,American Association,St. Louis,SL4
1883,National League,Boston,BSN
1883,National League,Buffalo,BFN
1883,National League,Chicago,CHN
1883,National League,Cleveland,CL2
1883,National League,Detroit,DTN
1883,National League,New York,NY1
1883,National League,Philadelphia,PHI
1883,National League,Providence,PRO
1884,American Association,Baltimore,BL2
1884,American Association,Brooklyn,BR3
1884,American Association,Cincinnati,CN2
1884,American Association,Columbus,CL5
1884,American Association,Indianapolis,IN2
1884,American Association,Louisville,LS2
1884,American Association,New York,NY4
1884,American Association,Philadelphia,PH4
1884,American Association,Pittsburgh,PT1
1884,American Association,Richmond,RIC
1884,American Association,St. Louis,SL4
1884,American Association,Toledo,TL1
1884,American Association,Washington,WS7
1884,National League,Boston,BSN
1884,National League,Buffalo,BFN
1884,National League,Chicago,CHN
1884,National League,Cleveland,CL2
1884,National League,Detroit,DTN
1884,National League,New York,NY1
1884,National League,Philadelphia,PHI
1884,National League,Providence,PRO
1884,Union Association,Altoona,ALT
1884,Union Association,Baltimore,BLU
1884,Union Association,Boston,BSU
1884,Union Association,Chicago/Pittsburgh,CHU
1884,Union Association,Cincinnati,CNU
1884,Union Association,Kansas City,KCU
1884,Union Association,Milwaukee,MLU
1884,Union Association,Philadelphia,PHU
1884,Union Association,St. Louis,SLU
1884,Union Association,St. Paul,SPU
1884,Union Association,Washington,WSU
1884,Union Association,Wilmington,WIL
1885,American Association,Baltimore,BL2
1885,American Association,Brooklyn,BR3
1885,American Association,Cincinnati,CN2
1885,American Association,Louisville,LS2
1885,American Association,New York,NY4
1885,American Association,Philadelphia,PH4
1885,American Association,Pittsburgh,PT1
1885,American Association,St. Louis,SL4
1885,National League,Boston,BSN
1885,National League,Buffalo,BFN
1885,National League,Chicago,CHN
1885,National League,Detroit,DTN
1885,National League,New York,NY1
1885,National League,Philadelphia,PHI
1885,National League,Providence,PRO
1885,National League,St. Louis,SL5
1886,American Association,Baltimore,BL2
1886,American Association,Brooklyn,BR3
1886,American Association,Cincinnati,CN2
1886,American Association,Louisville,LS2
1886,American Association,New York,NY4
1886,American Association,Philadelphia,PH4
1886,American Association,Pittsburgh,PT1
1886,American Association,St. Louis,SL4
1886,National League,Boston,BSN
1886,National League,Chicago,CHN
1886,National League,Detroit,DTN
1886,National League,Kansas City,KCN
1886,National League,New York,NY1
1886,National League,Philadelphia,PHI
1886,National League,St. Louis,SL5
1886,National League,Washington,WS8
1887,American Association,Baltimore,BL2
1887,American Association,Brooklyn,BR3
1887,American Association,Cincinnati,CN2
1887,American Association,Cleveland,CL3
1887,American Association,Louisville,LS2
1887,American Association,New York,NY4
1887,American Association,Philadelphia,PH4
1887,American Association,St. Louis,SL4
1887,National League,Boston,BSN
1887,National League,Chicago,CHN
1887,National League,Detroit,DTN
1887,National League,Indianapolis,IN3
1887,National League,New York,NY1
1887,National League,Philadelphia,PHI
1887,National League,Pittsburgh,PIT
1887,National League,Washington,WS8
1888,American Association,Baltimore,BL2
1888,American Association,Brooklyn,BR3
1888,American Association,Cincinnati,CN2
1888,American Association,Cleveland,CL3
1888,American Association,Kansas City,KC2
1888,American Association,Louisville,LS2
1888,American Association,Philadelphia,PH4
1888,American Association,St. Louis,SL4
1888,National League,Boston,BSN
1888,National League,Chicago,CHN
1888,National League,Detroit,DTN
1888,National League,Indianapolis,IN3
1888,National League,New York,NY1
1888,National League,Philadelphia,PHI
1888,National League,Pittsburgh,PIT
1888,National League,Washington,WS8
1889,American Association,Baltimore,BL2
1889,American Association,Brooklyn,BR3
1889,American Association,Cincinnati,CN2
1889,American Association,Columbus,CL6
1889,American Association,Kansas City,KC2
1889,American Association,Louisville,LS2
1889,American Association,Philadelphia,PH4
1889,American Association,St. Louis,SL4
1889,National League,Boston,BSN
1889,National League,Chicago,CHN
1889,National League,Cleveland,CL4
1889,National League,Indianapolis,IN3
1889,National League,New York,NY1
1889,National League,Philadelphia,PHI
1889,National League,Pittsburgh,PIT
1889,National League,Washington,WS8
1890,American Association,Baltimore,BL3
1890,American Association,Brooklyn,BR4
1890,American Association,Columbus,CL6
1890,American Association,Louisville,LS2
1890,American Association,Philadelphia,PH4
1890,American Association,Rochester,RC2
1890,American Association,St. Louis,SL4
1890,American Association,Syracuse,SR2
1890,American Association,Toledo,TL2
1890,National League,Boston,BSN
1890,National League,Brooklyn,BRO
1890,National League,Chicago,CHN
1890,National League,Cincinnati,CIN
1890,National League,Cleveland,CL4
1890,National League,New York,NY1
1890,National League,Philadelphia,PHI
1890,National League,Pittsburgh,PIT
1890,Players League,Boston,BSP
1890,Players League,Brooklyn,BRP
1890,Players League,Buffalo,BFP
1890,Players League,Chicago,CHP
1890,Players League,Cleveland,CLP
1890,Players League,New York,NYP
1890,Players League,Philadelphia,PHP
1890,Players League,Pittsburgh,PTP
1891,American Association,Baltimore,BL3
1891,American Association,Boston,BS2
1891,American Association,Cincinnati,CN3
1891,American Association,Columbus,CL6
1891,American Association,Louisville,LS2
1891,American Association,Milwaukee,ML3
1891,American Association,Philadelphia,PH4
1891,American Association,St. Louis,SL4
1891,American Association,Washington,WS9
1891,National League,Boston,BSN
1891,National League,Brooklyn,BRO
1891,National League,Chicago,CHN
1891,National League,Cincinnati,CIN
1891,National League,Cleveland,CL4
1891,National League,New York,NY1
1891,National League,Philadelphia,PHI
1891,National League,Pittsburgh,PIT
1892,National League,Baltimore,BLN
1892,National League,Boston,BSN
1892,National League,Brooklyn,BRO
1892,National League,Chicago,CHN
1892,National League,Cincinnati,CIN
1892,National League,Cleveland,CL4
1892,National League,Louisville,LS3
1892,National League,New York,NY1
1892,National League,Philadelphia,PHI
1892,National League,Pittsburgh,PIT
1892,National League,St. Louis,SLN
1892,National League,Washington,WSN
1893,National League,Baltimore,BLN
1893,National League,Boston,BSN
1893,National League,Brooklyn,BRO
1893,National League,Chicago,CHN
1893,National League,Cincinnati,CIN
1893,National League,Cleveland,CL4
1893,National League,Louisville,LS3
1893,National League,New York,NY1
1893,National League,Philadelphia,PHI
1893,National League,Pittsburgh,PIT
1893,National League,St. Louis,SLN
1893,National League,Washington,WSN
1894,National League,Baltimore,BLN
1894,National League,Boston,BSN
1894,National League,Brooklyn,BRO
1894,National League,Chicago,CHN
1894,National League,Cincinnati,CIN
1894,National League,Cleveland,CL4
1894,National League,Louisville,LS3
1894,National League,New York,NY1
1894,National League,Philadelphia,PHI
1894,National League,Pittsburgh,PIT
1894,National League,St. Louis,SLN
1894,National League,Washington,WSN
1895,National League,Baltimore,BLN
1895,National League,Boston,BSN
1895,National League,Brooklyn,BRO
1895,National League,Chicago,CHN
1895,National League,Cincinnati,CIN
1895,National League,Cleveland,CL4
1895,National League,Louisville,LS3
1895,National League,New York,NY1
1895,National League,Philadelphia,PHI
1895,National League,Pittsburgh,PIT
1895,National League,St. Louis,SLN
1895,National League,Washington,WSN
